sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Amyl chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Nickel-Copper (400)";"amyl chloride";"1-chloropentane";"543-59-9";"C5H11Cl";"alkyl halides";"";"";"100";"25 – 75";"<2";"32,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Nickel-Copper (400)";"amyl chloride";"1-chloropentane";"543-59-9";"C5H11Cl";"alkyl halides";"";"";"100";"75 – 225";"<20";"32,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Ni-Cr-Fe Alloy (600/ 690)";"amyl chloride";"1-chloropentane";"543-59-9";"C5H11Cl";"alkyl halides";"";"";"100";"25 – 225";"<2";"32,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Ni-Mo Alloy (Ni-30Mo; B-2)";"amyl chloride";"1-chloropentane";"543-59-9";"C5H11Cl";"alkyl halides";"";"";"100";"25 – 225";"<2";"32,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Niobium (Columbium)";"amyl chloride";"1-chloropentane";"543-59-9";"C5H11Cl";"alkyl halides";"";"";"100";"0 – 212";"<2";"32,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Silicon Cast Iron (14Si)";"amyl chloride";"1-chloropentane";"543-59-9";"C5H11Cl";"alkyl halides";"";"";"100";"52 – 237";"<20";"32,218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Silver";"amyl chloride";"1-chloropentane";"543-59-9";"C5H11Cl";"alkyl halides";"";"";"100";"25 – 225";"<2";"32,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Steels, Carbon/ Low Alloy";"amyl chloride";"1-chloropentane";"543-59-9";"C5H11Cl";"alkyl halides";"";"";"100";"25 – 75";"<2";"32,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Steels, Carbon/ Low Alloy";"amyl chloride";"1-chloropentane";"543-59-9";"C5H11Cl";"alkyl halides";"";"";"100";"125 – 175";">50";"32,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Tantalum";"amyl chloride";"1-chloropentane";"543-59-9";"C5H11Cl";"alkyl halides";"";"";"100";"25 – 225";"<2";"32,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Titanium, Unalloyed";"amyl chloride";"1-chloropentane";"543-59-9";"C5H11Cl";"alkyl halides";"";"";"100";"25 – 225";"<2";"32,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Zirconium";"amyl chloride";"1-chloropentane";"543-59-9";"C5H11Cl";"alkyl halides";"";"";"100";"25 – 225";"<2";"32,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
