sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Potassium dichromate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"potassium dichromate";"potassium bichromate";"7778-50-9";"Cr2K2O7";"salts";"";"5 – 10";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"potassium dichromate";"potassium bichromate";"7778-50-9";"Cr2K2O7";"salts";"";"5 – 10";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"potassium dichromate";"potassium bichromate";"7778-50-9";"Cr2K2O7";"salts";"";"5 – 10";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Nickel (200)";"potassium dichromate";"potassium bichromate";"7778-50-9";"Cr2K2O7";"salts";"";"5 – 10";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Nickel-Copper (400)";"potassium dichromate";"potassium bichromate";"7778-50-9";"Cr2K2O7";"salts";"";"5 – 10";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Ni-Cr-Fe Alloy (600/ 690)";"potassium dichromate";"potassium bichromate";"7778-50-9";"Cr2K2O7";"salts";"";"5 – 10";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Ni-Mo Alloy (Ni-30Mo; B-2)";"potassium dichromate";"potassium bichromate";"7778-50-9";"Cr2K2O7";"salts";"";"5 – 10";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Silicon Cast Iron (14Si)";"potassium dichromate";"potassium bichromate";"7778-50-9";"Cr2K2O7";"salts";"";"5 – 10";"52 – 237";"<20";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Silver";"potassium dichromate";"potassium bichromate";"7778-50-9";"Cr2K2O7";"salts";"";"5 – 10";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Steels, Carbon/ Low Alloy";"potassium dichromate";"potassium bichromate";"7778-50-9";"Cr2K2O7";"salts";"";"5 – 10";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Steels, Carbon/ Low Alloy";"potassium dichromate";"potassium bichromate";"7778-50-9";"Cr2K2O7";"salts";"";"5 – 10";"225 – 275";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Superferritic Stainless Steel (26-1)";"potassium dichromate";"potassium bichromate";"7778-50-9";"Cr2K2O7";"salts";"";"5 – 10";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Tantalum";"potassium dichromate";"potassium bichromate";"7778-50-9";"Cr2K2O7";"salts";"";"5 – 10";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Titanium, Unalloyed";"potassium dichromate";"potassium bichromate";"7778-50-9";"Cr2K2O7";"salts";"";"5 – 10";"25 – 225";"<2";"189,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Titanium, Unalloyed";"potassium dichromate";"potassium bichromate";"7778-50-9";"Cr2K2O7";"salts";"";"25";"221";"<2";"189,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
