sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ozone";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"ozone";"10028-15-6";"O3";"2";"questionable";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"ozone";"10028-15-6";"O3";"3";"not recommended; may stress crack";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"ozone";"10028-15-6";"O3";"3";"not recommended";"100";"60 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Chlorinated Polyvinyl Chloride (CPVC)";"";"ozone";"10028-15-6";"O3";"1";"recommended";"100";"70 – 212";"";"";"1, 2";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Chlorosulfonated Polyethylene";"";"ozone";"10028-15-6";"O3";"1";"recommended";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Concrete";"";"ozone";"10028-15-6";"O3";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"Teflon; Hostaflon; Fluon";"ozone";"10028-15-6";"O3";"1";"recommended";"5";"250";">12";"";"10";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"ozone";"10028-15-6";"O3";"1";"recommended";"100";"70 – 90";"";"cyclic immersion; immersed";"1, 22";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Fluororubber";"";"ozone";"10028-15-6";"O3";"2";"questionable";"<2";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Fluororubber";"";"ozone";"10028-15-6";"O3";"3";"not recommended";"20";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Glass, Chemical";"";"ozone";"10028-15-6";"O3";"1";"recommended";"100";"0 – 70";"";"also storage at -78°C (-108°F)";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Nylon";"";"ozone";"10028-15-6";"O3";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Polychloroprene";"";"ozone";"10028-15-6";"O3";"3";"not recommended";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Polychloroprene";"";"ozone";"10028-15-6";"O3";"1";"recommended";"100";"60 – 70";"";"silicone polymers are resistant also";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Polyesters, Glass Fiber-Reinforced";"";"ozone";"10028-15-6";"O3";"1";"recommended";"100";"70 – 80";"";"plus hydrogen";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Polyethylene (PE)";"";"ozone";"10028-15-6";"O3";"2";"questionable; rapidly notches surface";"100";"60 – 70";"";"";"1, 8";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Polyethylene (PE)";"";"ozone";"10028-15-6";"O3";"3";"not recommended";"100";"70 – 150";"";"";"1, 8";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Polymethyl Methacrylate (PMMA)";"";"ozone";"10028-15-6";"O3";"1";"recommended";"2";"60 – 70";"";"with oxygen or air";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Polypropylene (PP)";"";"ozone";"10028-15-6";"O3";"3";"not recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Polysulfone";"";"ozone";"10028-15-6";"O3";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Polyvinyl Chloride (PVC)";"";"ozone";"10028-15-6";"O3";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Polyvinylidene Fluoride (PVDF)";"Kynar";"ozone";"10028-15-6";"O3";"1";"recommended";"100";"70 – 225";">12";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Polyvinylidene Fluoride (PVDF)";"";"ozone";"10028-15-6";"O3";"2";"questionable";"100";"225 – 285";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Rubber, Butyl (BR)";"";"ozone";"10028-15-6";"O3";"1";"recommended";"<2";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Rubber, Natural (NR)";"";"ozone";"10028-15-6";"O3";"3";"not recommended; may stress crack";"1 – 5";"70 – 150";"";"% conc. in air";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Rubber, Natural (NR)";"";"ozone";"10028-15-6";"O3";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Vinyl Ester Resins";"";"ozone";"10028-15-6";"O3";"1";"recommended";"4";"70 – 140";"";"";"7";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Wood";"";"ozone";"10028-15-6";"O3";"1";"recommended";"1";"60 – 70";"";"% conc. in air";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
