sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Calcium nitrate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"calcium nitrate";"";"10124-37-5";"CaN2O6";"salts";"1";"recommended";"50";"70 – 100";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"calcium nitrate";"";"10124-37-5";"CaN2O6";"salts";"1";"recommended";"50";"70 – 100";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"calcium nitrate";"";"10124-37-5";"CaN2O6";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Chlorinated Polyvinyl Chloride (CPVC)";"";"calcium nitrate";"";"10124-37-5";"CaN2O6";"salts";"1";"recommended";"100";"70 – 212";"";"";"1, 20";"";"";"";"";"";"";"";"";"";"";""
"5";"Chlorosulfonated Polyethylene";"";"calcium nitrate";"";"10124-37-5";"CaN2O6";"salts";"1";"recommended";"50";"70 – 100";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Epoxy Cements";"";"calcium nitrate";"";"10124-37-5";"CaN2O6";"salts";"1";"recommended";"50";"68";"<6";"";"5";"";"";"";"";"";"";"";"";"";"";""
"7";"Epoxy Cements";"";"calcium nitrate";"";"10124-37-5";"CaN2O6";"salts";"1";"recommended";"50";"140";"";"";"5";"";"";"";"";"";"";"";"";"";"";""
"8";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"calcium nitrate";"";"10124-37-5";"CaN2O6";"salts";"1";"recommended; over 3 years";">10";"75 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"9";"Epoxy Resin, Glass Fiber- Reinforced";"";"calcium nitrate";"";"10124-37-5";"CaN2O6";"salts";"1";"recommended";"20";"70 – 150";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"10";"Epoxy Resin, Glass Fiber- Reinforced";"";"calcium nitrate";"saturated";"10124-37-5";"CaN2O6";"salts";"1";"recommended";"100";"70 – 250";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"11";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"calcium nitrate";"";"10124-37-5";"CaN2O6";"salts";"1";"recommended";"100";"70 – 150";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";""
"12";"Fluororubber";"";"calcium nitrate";"";"10124-37-5";"CaN2O6";"salts";"1";"recommended";"40";"70 – 100";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"13";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"calcium nitrate";"";"10124-37-5";"CaN2O6";"salts";"1";"recommended";"100";"70 – 250";"";"~7pH";"1";"";"";"";"";"";"";"";"";"";"";""
"14";"Polychloroprene";"";"calcium nitrate";"";"10124-37-5";"CaN2O6";"salts";"1";"recommended";"50";"70 – 100";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"15";"Polyesters, Glass Fiber-Reinforced";"";"calcium nitrate";"";"10124-37-5";"CaN2O6";"salts";"1";"recommended";">10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"16";"Polyethylene (PE)";"";"calcium nitrate";"";"10124-37-5";"CaN2O6";"salts";"1";"recommended";"50";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";""
"17";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"calcium nitrate";"";"10124-37-5";"CaN2O6";"salts";"1";"recommended";"100";"0 – 200";"<1";"";"11";"";"";"";"";"";"";"";"";"";"";""
"18";"Polypropylene (PP)";"";"calcium nitrate";"";"10124-37-5";"CaN2O6";"salts";"1";"recommended";"100";"60 – 212";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";""
"19";"Polyvinyl Chloride (PVC)";"";"calcium nitrate";"";"10124-37-5";"CaN2O6";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"20";"Polyvinylidene Fluoride (PVDF)";"";"calcium nitrate";"";"10124-37-5";"CaN2O6";"salts";"1";"recommended";"100";"70 – 275";"";"";"1, 23";"";"";"";"";"";"";"";"";"";"";""
"21";"Rubber, Butyl (BR)";"";"calcium nitrate";"";"10124-37-5";"CaN2O6";"salts";"1";"recommended";"50";"70 – 100";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"22";"Rubber, Natural (NR)";"";"calcium nitrate";"";"10124-37-5";"CaN2O6";"salts";"1";"recommended";"50";"70 – 100";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
