sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Propylene dichloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Cellulose Acetate";"propylene dichloride";"1,2-dichloropropane";"26198-63-0 [78-87-5]";"C3H6Cl2";"halogenated aliphatics";"3";"not recommended; discolored; weight gain";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Cellulose Acetate Butyrate";"propylene dichloride";"1,2-dichloropropane";"26198-63-0 [78-87-5]";"C3H6Cl2";"halogenated aliphatics";"3";"not recommended; disintegrated";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Chlorinated Polyvinyl Chloride (CPVC)";"propylene dichloride";"1,2-dichloropropane";"26198-63-0 [78-87-5]";"C3H6Cl2";"halogenated aliphatics";"3";"not recommended";"100";"70 – 212";"";"";"1, 2";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"propylene dichloride";"1,2-dichloropropane";"26198-63-0 [78-87-5]";"C3H6Cl2";"halogenated aliphatics";"1";"recommended";"100";"70 – 90";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Polyethylene (PE)";"propylene dichloride";"1,2-dichloropropane";"26198-63-0 [78-87-5]";"C3H6Cl2";"halogenated aliphatics";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Polymethyl Methacrylate (PMMA)";"propylene dichloride";"1,2-dichloropropane";"26198-63-0 [78-87-5]";"C3H6Cl2";"halogenated aliphatics";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Polyvinyl Chloride (PVC)";"propylene dichloride";"1,2-dichloropropane";"26198-63-0 [78-87-5]";"C3H6Cl2";"halogenated aliphatics";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Styrene Acrylonitrile Copolymer (SAN)";"propylene dichloride";"1,2-dichloropropane";"26198-63-0 [78-87-5]";"C3H6Cl2";"halogenated aliphatics";"3";"not recommended";"100";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
