sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Beryllium chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"beryllium chloride";"7787-47-5";"BeCl2";"salts";"pitting; stress corrosion cracking";"1 – 40";"0 – 212";"<2";"32,164,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"beryllium chloride";"7787-47-5";"BeCl2";"salts";"";"<40";"0 – 212";"<2";"32,164,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"beryllium chloride";"7787-47-5";"BeCl2";"salts";"";"<40";"0 – 212";"<2";"32,164,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"beryllium chloride";"7787-47-5";"BeCl2";"salts";"";"1 – 40";"0 – 212";"<2";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"beryllium chloride";"7787-47-5";"BeCl2";"salts";"pitting; stress corrosion cracking";"5 – 40";"215 – 225";"<20";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"beryllium chloride";"7787-47-5";"BeCl2";"salts";"";"1 – 40";"0 – 212";"<2";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"beryllium chloride";"7787-47-5";"BeCl2";"salts";"pitting; stress corrosion cracking";"5 – 40";"215 – 225";"<20";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cast Iron, Gray/ Ductile";"beryllium chloride";"7787-47-5";"BeCl2";"salts";"";"5 – 40";"25 – 75";">50";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Copper/ Bronze/ Low Brass";"beryllium chloride";"7787-47-5";"BeCl2";"salts";"";"5 – 40";"25 – 75";"20 – 50";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Cr Stainless Steel (12Cr)";"beryllium chloride";"7787-47-5";"BeCl2";"salts";"";"15 – 25";"25 – 75";">50";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Cr Stainless Steel (17Cr)";"beryllium chloride";"7787-47-5";"BeCl2";"salts";"pitting";"15 – 25";"25 – 75";">50";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Gold/ Platinum";"beryllium chloride";"7787-47-5";"BeCl2";"salts";"";"5 – 35";"25 – 75";"<2";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Nickel (200)";"beryllium chloride";"7787-47-5";"BeCl2";"salts";"";"5 – 40";"25 – 75";">50";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Nickel-Copper (400)";"beryllium chloride";"7787-47-5";"BeCl2";"salts";"";"5 – 40";"25 – 75";">50";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Ni-Mo Alloy (Ni-30Mo; B-2)";"beryllium chloride";"7787-47-5";"BeCl2";"salts";"";"5 – 15";"25 – 175";"<20";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Silver";"beryllium chloride";"7787-47-5";"BeCl2";"salts";"";"5 – 15";"75 – 225";"<20";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Silver";"beryllium chloride";"7787-47-5";"BeCl2";"salts";"";"5 – 40";"25 – 75";"<2";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Silver";"beryllium chloride";"7787-47-5";"BeCl2";"salts";"";"5 – 40";"175 – 225";"<20";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Steels, Carbon/ Low Alloy";"beryllium chloride";"7787-47-5";"BeCl2";"salts";"";"5 – 40";"25 – 75";">50";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Tantalum";"beryllium chloride";"7787-47-5";"BeCl2";"salts";"";"5 – 35";"25 – 75";"<2";"32,210,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Titanium, Unalloyed";"beryllium chloride";"7787-47-5";"BeCl2";"salts";"";"1 – 40";"0 – 212";"<2";"32,164,210";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
