sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Nitrohydrochloric acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"nitrohydrochloric acid";"inorganic acids";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"nitrohydrochloric acid";"inorganic acids";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Chlorosulfonated Polyethylene";"nitrohydrochloric acid";"inorganic acids";"2";"questionable";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Concrete";"nitrohydrochloric acid";"inorganic acids";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"nitrohydrochloric acid";"inorganic acids";"3";"not recommended";"any";"0 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"nitrohydrochloric acid";"inorganic acids";"1";"recommended; weight gain; strength loss; steady state reached in one week exposure";"100";"32 – 200";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"nitrohydrochloric acid";"inorganic acids";"1";"recommended";"100";"70 – 90";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Fluororubber";"nitrohydrochloric acid";"inorganic acids";"2";"questionable";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"nitrohydrochloric acid";"inorganic acids";"3";"not recommended";"any";"0 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Glass, Chemical";"nitrohydrochloric acid";"inorganic acids";"1";"recommended";"100";"70 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Glassed Steel";"nitrohydrochloric acid";"inorganic acids";"1";"recommended; questionable ";">10";"50 – 300";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Perfluoroalkoxy Resins";"nitrohydrochloric acid";"inorganic acids";"1";"recommended; steady state reached in one week exposure";"100";"32 – 250";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Phenolic Resins, Asbestos-Reinforced";"nitrohydrochloric acid";"inorganic acids";"3";"not recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Polychloroprene";"nitrohydrochloric acid";"inorganic acids";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Polyesters, Glass Fiber-Reinforced";"nitrohydrochloric acid";"inorganic acids";"1";"recommended";"10";"50 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Polyesters, Glass Fiber-Reinforced";"nitrohydrochloric acid";"inorganic acids";"3";"not recommended";"10";"175 – 300";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Polyesters, Glass Fiber-Reinforced";"nitrohydrochloric acid";"inorganic acids";"1";"recommended";"10 – 20";"165 – 170";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Polyesters, Glass Fiber-Reinforced";"nitrohydrochloric acid";"inorganic acids";"1";"recommended";"10 – 30";"160 – 165";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Polyesters, Glass Fiber-Reinforced";"nitrohydrochloric acid";"inorganic acids";"1";"recommended";"10 – 40";"155 – 160";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Polyesters, Glass Fiber-Reinforced";"nitrohydrochloric acid";"inorganic acids";"1";"recommended";"10 – 50";"150 – 155";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Polyesters, Glass Fiber-Reinforced";"nitrohydrochloric acid";"inorganic acids";"1";"recommended; discolored; embrittled; may stress crack";">10";"50 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Polyesters, Glass Fiber-Reinforced";"nitrohydrochloric acid";"inorganic acids";"3";"not recommended";">10";"150 – 300";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Polyethylene (PE)";"nitrohydrochloric acid";"inorganic acids";"2";"questionable; may stress crack - chemical rather than environmental";"100";"60 – 70";"";"";"1, 8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Polyethylene (PE)";"nitrohydrochloric acid";"inorganic acids";"3";"not recommended";"100";"70 – 150";"";"";"1, 8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Polymethyl Methacrylate (PMMA)";"nitrohydrochloric acid";"inorganic acids";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
