sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Aluminum nitrate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"aluminum nitrate";"";"salts";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Chlorinated Polyvinyl Chloride (CPVC)";"";"aluminum nitrate";"";"salts";"1";"recommended";"100";"70 – 212";"";"1, 20";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"aluminum nitrate";"";"salts";"1";"recommended; over 3 years";">10";"80 – 250";">12";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Epoxy Resin, Glass Fiber- Reinforced";"";"aluminum nitrate";"";"salts";"1";"recommended";"20";"70 – 225";"";"1, 19";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Epoxy Resin, Glass Fiber- Reinforced";"";"aluminum nitrate";"";"salts";"1";"recommended";"50";"70 – 225";"";"1, 19";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Epoxy Resin, Glass Fiber- Reinforced";"";"aluminum nitrate";"saturated";"salts";"1";"recommended";"100";"70 – 250";"";"1, 19";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Polyesters, Glass Fiber-Reinforced";"";"aluminum nitrate";"";"salts";"1";"recommended";"10";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Polypropylene (PP)";"";"aluminum nitrate";"";"salts";"1";"recommended";"100";"70 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Polyvinyl Chloride (PVC)";"";"aluminum nitrate";"";"salts";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Polyvinylidene Chloride (PVDC)";"Saran brand resin";"aluminum nitrate";"";"salts";"1";"recommended";"100";"150";"";"6";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Polyvinylidene Fluoride (PVDF)";"Kynar";"aluminum nitrate";"";"salts";"1";"recommended";"100";"70 – 285";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Vinyl Ester Resins";"";"aluminum nitrate";"";"salts";"1";"recommended";">10";"70 – 180";"";"7";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
