sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Methylene iodide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"methylene iodide";"diiodomethane";"1975-11-06";"CH2I2";"halogenated aliphatics";"100";"52 – 102";"<2";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 30-44-5-3W (G-30)";"methylene iodide";"diiodomethane";"1975-11-06";"CH2I2";"halogenated aliphatics";"100";"52 – 102";"<2";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Aluminum Alloy (3003/ 5154)";"methylene iodide";"diiodomethane";"1975-11-06";"CH2I2";"halogenated aliphatics";"100";"52 – 102";"<2";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"methylene iodide";"diiodomethane";"1975-11-06";"CH2I2";"halogenated aliphatics";"100";"52 – 102";"<2";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"methylene iodide";"diiodomethane";"1975-11-06";"CH2I2";"halogenated aliphatics";"100";"52 – 102";"<2";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Brass (>15Zn)";"methylene iodide";"diiodomethane";"1975-11-06";"CH2I2";"halogenated aliphatics";"100";"52 – 102";"<2";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Cast Iron, Gray/ Ductile";"methylene iodide";"diiodomethane";"1975-11-06";"CH2I2";"halogenated aliphatics";"100";"52 – 102";"<2";"no water";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Copper/ Bronze/ Low Brass";"methylene iodide";"diiodomethane";"1975-11-06";"CH2I2";"halogenated aliphatics";"100";"52 – 102";"<2";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"methylene iodide";"diiodomethane";"1975-11-06";"CH2I2";"halogenated aliphatics";"100";"52 – 102";"<2";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"methylene iodide";"diiodomethane";"1975-11-06";"CH2I2";"halogenated aliphatics";"100";"52 – 102";"<2";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"methylene iodide";"diiodomethane";"1975-11-06";"CH2I2";"halogenated aliphatics";"100";"52 – 102";"<2";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"methylene iodide";"diiodomethane";"1975-11-06";"CH2I2";"halogenated aliphatics";"100";"52 – 102";"<2";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"methylene iodide";"diiodomethane";"1975-11-06";"CH2I2";"halogenated aliphatics";"100";"52 – 102";"<2";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Nickel (200)";"methylene iodide";"diiodomethane";"1975-11-06";"CH2I2";"halogenated aliphatics";"100";"52 – 102";"<2";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Nickel Cast Iron (15-35Ni)";"methylene iodide";"diiodomethane";"1975-11-06";"CH2I2";"halogenated aliphatics";"100";"52 – 102";"<2";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Nickel-Copper (400)";"methylene iodide";"diiodomethane";"1975-11-06";"CH2I2";"halogenated aliphatics";"100";"52 – 102";"<2";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Ni-Cr-Fe Alloy (600/ 690)";"methylene iodide";"diiodomethane";"1975-11-06";"CH2I2";"halogenated aliphatics";"100";"52 – 102";"<2";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Ni-Mo Alloy (Ni-30Mo; B-2)";"methylene iodide";"diiodomethane";"1975-11-06";"CH2I2";"halogenated aliphatics";"100";"52 – 102";"<2";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Silicon Cast Iron (14Si)";"methylene iodide";"diiodomethane";"1975-11-06";"CH2I2";"halogenated aliphatics";"100";"52 – 102";"<2";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Silver";"methylene iodide";"diiodomethane";"1975-11-06";"CH2I2";"halogenated aliphatics";"100";"52 – 102";"<2";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Steels, Carbon/ Low Alloy";"methylene iodide";"diiodomethane";"1975-11-06";"CH2I2";"halogenated aliphatics";"100";"52 – 102";"<2";"no water";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
