sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Potassium chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"potassium chloride";"7447-40-7";"ClK";"salts";"";"5 – 35";"25 – 225";"<2";"78,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"potassium chloride";"7447-40-7";"ClK";"salts";"";"5 – 25";"175 – 225";"<2";"78,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"potassium chloride";"7447-40-7";"ClK";"salts";"";"5 – 35";"25 – 175";"<2";"78,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 30-44-5-3W (G-30)";"potassium chloride";"7447-40-7";"ClK";"salts";"";"5 – 25";"175 – 225";"<2";"78,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 30-44-5-3W (G-30)";"potassium chloride";"7447-40-7";"ClK";"salts";"";"5 – 35";"25 – 175";"<2";"78,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Aluminum Alloy (3003/ 5154)";"potassium chloride";"7447-40-7";"ClK";"salts";"pitting";"5 – 15";"25 – 75";">50";"78,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"potassium chloride";"7447-40-7";"ClK";"salts";"pitting; stress corrosion cracking";"5 – 15";"25 – 75";"<20";"78,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"potassium chloride";"7447-40-7";"ClK";"salts";"";"5 – 15";"175 – 225";">50";"78,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"potassium chloride";"7447-40-7";"ClK";"salts";"";"15 – 25";"25 – 75";">50";"78,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"potassium chloride";"7447-40-7";"ClK";"salts";"";"25 – 35";"125 – 175";"<2";"78,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
