sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Styrene";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"styrene";"vinylbenzene";"100-42-5";"C8H8";"aromatics";"1";"recommended";"100";"80";"<6";"acrylic emulsion";"16";"";"";"";"";"";"";"";"";"";"";""
"2";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"styrene";"vinylbenzene";"100-42-5";"C8H8";"aromatics";"3";"not recommended";"100";"85";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"3";"Epoxy Resin, Glass Fiber- Reinforced";"";"styrene";"vinylbenzene";"100-42-5";"C8H8";"aromatics";"1";"recommended";"100";"70 – 80";"";"";"1, 24";"";"";"";"";"";"";"";"";"";"";""
"4";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"Teflon; Hostaflon; Fluon";"styrene";"vinylbenzene";"100-42-5";"C8H8";"aromatics";"3";"not recommended";"any";"0 – 400";"<6";"";"10";"";"";"";"";"";"";"";"";"";"";""
"5";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"Teflon FEP";"styrene";"vinylbenzene";"100-42-5";"C8H8";"aromatics";"3";"not recommended";"any";"0 – 400";"<6";"";"1, 10";"";"";"";"";"";"";"";"";"";"";""
"6";"Nylon";"";"styrene";"vinylbenzene";"100-42-5";"C8H8";"aromatics";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Polyesters, Glass Fiber-Reinforced";"";"styrene";"vinylbenzene";"100-42-5";"C8H8";"aromatics";"3";"not recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Polyethylene (PE)";"";"styrene";"vinylbenzene";"100-42-5";"C8H8";"aromatics";"3";"not recommended";"100";"70 – 150";"";"plasticizer; t.Y.S. 30-40% at saturation level (6-8%)";"1, 8";"";"";"";"";"";"";"";"";"";"";""
"9";"Vinyl Ester Resins";"";"styrene";"vinylbenzene";"100-42-5";"C8H8";"aromatics";"3";"not recommended";"100";"70 – 80";"";"";"7";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
