sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Fluoboric acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"fluoboric acid";"inorganic acids";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"fluoboric acid";"inorganic acids";"1";"recommended";"100";"125";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"fluoboric acid";"inorganic acids";"1";"recommended";"10";"125";"<6";"boiling point";"16";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Chlorinated Polyvinyl Chloride (CPVC)";"";"fluoboric acid";"inorganic acids";"1";"recommended";"100";"70 – 212";"";"";"1, 2";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"Teflon; Hostaflon; Fluon";"fluoboric acid";"inorganic acids";"1";"recommended";"20 – 50";"250 – 300";">12";"";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"fluoboric acid";"inorganic acids";"1";"recommended";"50";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"fluoboric acid";"inorganic acids";"1";"recommended";"50 – 60";"70 – 90";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"fluoboric acid";"inorganic acids";"1";"recommended";">10";"70 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Polyesters, Glass Fiber-Reinforced";"";"fluoboric acid";"inorganic acids";"1";"recommended; Dynel or Orlon surface veil ";"10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Polyethylene (PE)";"";"fluoboric acid";"inorganic acids";"1";"recommended";"10";"60 – 70";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Polyethylene (PE)";"";"fluoboric acid";"inorganic acids";"1";"recommended";"100";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Polyvinyl Chloride (PVC)";"";"fluoboric acid";"inorganic acids";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Vinyl Ester Resins";"";"fluoboric acid";"inorganic acids";"1";"recommended";"10";"70 – 212";"";"synthetic veil";"7";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
