sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Uranyl fluoride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"uranyl fluoride";"salts";"radioactive!";"100";"425 – 475";"<20";"214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Gold/ Platinum";"uranyl fluoride";"salts";"radioactive!";"100";"425 – 475";"<2";"214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Titanium, Unalloyed";"uranyl fluoride";"salts";"radioactive!";"100";"425 – 475";"<20";"214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Zirconium";"uranyl fluoride";"salts";"radioactive!";"100";"425 – 475";">50";"214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
