sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sodium chlorite";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"sodium chlorite";"";"7758-19-2";"ClNaO2";"salts";"3";"not recommended";"10";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"sodium chlorite";"";"7758-19-2";"ClNaO2";"salts";"3";"not recommended";"10";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Carbon-Graphite Composites";"";"sodium chlorite";"";"7758-19-2";"ClNaO2";"salts";"1";"recommended";"<4";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"sodium chlorite";"";"7758-19-2";"ClNaO2";"salts";"1";"recommended";"";"175";"<6";"16";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"";"sodium chlorite";"";"7758-19-2";"ClNaO2";"salts";"1";"recommended";"2";"225";"";"16";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"sodium chlorite";"saturated";"7758-19-2";"ClNaO2";"salts";"1";"recommended";"100";"110";"";"16";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"sodium chlorite";"saturated";"7758-19-2";"ClNaO2";"salts";"1";"recommended";"100";"150";"";"16";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"sodium chlorite";"";"7758-19-2";"ClNaO2";"salts";"1";"recommended";"<25";"175";"<6";"16";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Chlorosulfonated Polyethylene";"";"sodium chlorite";"";"7758-19-2";"ClNaO2";"salts";"1";"recommended";"10";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Epoxy Cements";"";"sodium chlorite";"";"7758-19-2";"ClNaO2";"salts";"1";"recommended";"5";"68";"<6";"5";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Epoxy Cements";"";"sodium chlorite";"";"7758-19-2";"ClNaO2";"salts";"1";"recommended";"5";"140";"";"5";"";"";"";"";"";"";"";"";"";"";"";""
