sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Potassium chlorate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"potassium chlorate";"potcrate";"3811-04-09";"ClKO3";"salts";"";"5 – 10";"25 – 225";"<2";"190,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-6Mo (254SMO/ 6XN)";"potassium chlorate";"potcrate";"3811-04-09";"ClKO3";"salts";"";"10";"221";"<2";"190";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"potassium chlorate";"potcrate";"3811-04-09";"ClKO3";"salts";"";"5 – 10";"25 – 225";"<2";"190,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 30-44-5-3W (G-30)";"potassium chlorate";"potcrate";"3811-04-09";"ClKO3";"salts";"";"5 – 10";"25 – 225";"<2";"190,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"potassium chlorate";"potcrate";"3811-04-09";"ClKO3";"salts";"";"5 – 10";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"potassium chlorate";"potcrate";"3811-04-09";"ClKO3";"salts";"";"5 – 10";"25 – 125";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"potassium chlorate";"potcrate";"3811-04-09";"ClKO3";"salts";"";"5 – 10";"125 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"potassium chlorate";"potcrate";"3811-04-09";"ClKO3";"salts";"pitting";"5 – 10";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Brass (>15Zn)";"potassium chlorate";"potcrate";"3811-04-09";"ClKO3";"salts";"";"5 – 10";"25 – 225";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Cast Iron, Gray/ Ductile";"potassium chlorate";"potcrate";"3811-04-09";"ClKO3";"salts";"";"5 – 10";"25 – 125";"20 – 50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Cast Iron, Gray/ Ductile";"potassium chlorate";"potcrate";"3811-04-09";"ClKO3";"salts";"";"5 – 10";"125 – 225";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Copper/ Bronze/ Low Brass";"potassium chlorate";"potcrate";"3811-04-09";"ClKO3";"salts";"";"5 – 10";"25 – 225";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Copper-Nickel";"potassium chlorate";"potcrate";"3811-04-09";"ClKO3";"salts";"";"5 – 10";"25 – 225";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Cr Stainless Steel (12Cr)";"potassium chlorate";"potcrate";"3811-04-09";"ClKO3";"salts";"";"5 – 10";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Cr Stainless Steel (17Cr)";"potassium chlorate";"potcrate";"3811-04-09";"ClKO3";"salts";"";"5 – 10";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Duplex Stainless Steel (25-6-3)";"potassium chlorate";"potcrate";"3811-04-09";"ClKO3";"salts";"";"10";"221";"<2";"190";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Gold/ Platinum";"potassium chlorate";"potcrate";"3811-04-09";"ClKO3";"salts";"";"5 – 10";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Lead";"potassium chlorate";"potcrate";"3811-04-09";"ClKO3";"salts";"";"5 – 10";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"potassium chlorate";"potcrate";"3811-04-09";"ClKO3";"salts";"";"5 – 10";"25 – 75";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"potassium chlorate";"potcrate";"3811-04-09";"ClKO3";"salts";"";"5 – 10";"75 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"potassium chlorate";"potcrate";"3811-04-09";"ClKO3";"salts";"";"5 – 10";"25 – 75";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"potassium chlorate";"potcrate";"3811-04-09";"ClKO3";"salts";"";"5 – 10";"75 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"potassium chlorate";"potcrate";"3811-04-09";"ClKO3";"salts";"";"5 – 10";"25 – 75";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"potassium chlorate";"potcrate";"3811-04-09";"ClKO3";"salts";"";"5 – 10";"75 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"potassium chlorate";"potcrate";"3811-04-09";"ClKO3";"salts";"";"5 – 10";"25 – 75";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"potassium chlorate";"potcrate";"3811-04-09";"ClKO3";"salts";"";"5 – 10";"75 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"potassium chlorate";"potcrate";"3811-04-09";"ClKO3";"salts";"";"5 – 10";"25 – 75";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
