sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Nitrogen tetroxide + water";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium note";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"nitrogen tetroxide + water";"";"oxides";"";"100";"25 – 75";"<2";"72,127,216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"nitrogen tetroxide + water";"";"oxides";"";"100";"25 – 225";"<2";"72,127,216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"nitrogen tetroxide + water";"";"oxides";"";"100";"25 – 225";"<2";"72,127,216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"nitrogen tetroxide + water";"";"oxides";"";"100";"25 – 225";"<2";"72,127,216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"nitrogen tetroxide + water";"";"oxides";"";"100";"25 – 175";"<2";"72,127,216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"nitrogen tetroxide + water";"";"oxides";"";"100";"25 – 75";"<2";"72,127,216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Brass (>15Zn)";"nitrogen tetroxide + water";"";"oxides";"";"100";"25 – 75";">50";"72,127,216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cast Iron, Gray/ Ductile";"nitrogen tetroxide + water";"";"oxides";"";"100";"25 – 225";"<20";"72,127,216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Copper/ Bronze/ Low Brass";"nitrogen tetroxide + water";"";"oxides";"";"100";"25 – 75";"<20";"72,127,216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Gold/ Platinum";"nitrogen tetroxide + water";"";"oxides";"";"100";"25 – 225";"<20";"72,127,216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Lead";"nitrogen tetroxide + water";"";"oxides";"";"100";"25 – 75";"<2";"72,127,216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Lead";"nitrogen tetroxide + water";"";"oxides";"";"100";"175 – 225";">50";"72,127,216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"nitrogen tetroxide + water";"";"oxides";"";"100";"25 – 225";"<2";"72,127,216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"nitrogen tetroxide + water";"";"oxides";"";"100";"25 – 225";"<2";"72,127,216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"nitrogen tetroxide + water";"";"oxides";"";"100";"25 – 225";"<2";"72,127,216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"nitrogen tetroxide + water";"";"oxides";"";"100";"25 – 225";"<2";"72,127,216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"nitrogen tetroxide + water";"";"oxides";"";"100";"25 – 225";"<2";"72,127,216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Nickel (200)";"nitrogen tetroxide + water";"";"oxides";"";"100";"25 – 225";"<2";"72,127,216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Nickel-Copper (400)";"nitrogen tetroxide + water";"";"oxides";"";"100";"25 – 225";"<2";"72,127,216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Ni-Cr-Fe Alloy (600/ 690)";"nitrogen tetroxide + water";"";"oxides";"";"100";"25 – 225";"<2";"72,127,216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Ni-Mo Alloy (Ni-30Mo; B-2)";"nitrogen tetroxide + water";"";"oxides";"";"100";"25 – 225";"<20";"72,127,216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Silicon Cast Iron (14Si)";"nitrogen tetroxide + water";"";"oxides";"";"100";"52 – 102";"<2";"72,127,216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Silver";"nitrogen tetroxide + water";"";"oxides";"";"100";"25 – 225";"<20";"72,127,216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Steels, Carbon/ Low Alloy";"nitrogen tetroxide + water";"";"oxides";"";"100";"25 – 225";"<20";"72,127,216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Superferritic Stainless Steel (26-1)";"nitrogen tetroxide + water";"";"oxides";"";"100";"25 – 175";"<2";"72,127,216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Tantalum";"nitrogen tetroxide + water";"";"oxides";"";"100";"25 – 225";"<20";"72,127,216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Titanium, Unalloyed";"nitrogen tetroxide + water";"";"oxides";"hazardous!";"100";"25 – 75";"<2";"72,127,216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Zirconium";"nitrogen tetroxide + water";"";"oxides";"";"100";"25 – 75";"<2";"72,127,216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
