sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ammonia";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"14";"Chlorosulfonated Polyethylene";"";"ammonia";"";"7664-41-7";"H3N";"bases";"1";"recommended";"10";"100 – 140";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"15";"Chlorosulfonated Polyethylene";"";"ammonia";"saturated";"7664-41-7";"H3N";"bases";"1";"recommended";"10";"140 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"16";"Chlorosulfonated Polyethylene";"";"ammonia";"liquid";"7664-41-7";"H3N";"bases";"1";"recommended";"100";"-27.4";"";"liquid";"1";"";"";"";"";"";"";"";"";"";"";""
"17";"Chlorosulfonated Polyethylene";"";"ammonia";"";"7664-41-7";"H3N";"bases";"2";"questionable";"100";"70 – 135";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"18";"Chlorosulfonated Polyethylene";"";"ammonia";"";"7664-41-7";"H3N";"bases";"2";"questionable";"100";"135 – 150";"";"no water";"1";"";"";"";"";"";"";"";"";"";"";""
"19";"Concrete";"";"ammonia";"";"7664-41-7";"H3N";"bases";"1";"recommended";">10";"60 – 70";"";"gas; liquid; aged";"1";"";"";"";"";"";"";"";"";"";"";""
"20";"Epoxy Cements";"";"ammonia";"";"7664-41-7";"H3N";"bases";"1";"recommended";"25";"68";"";"";"5";"";"";"";"";"";"";"";"";"";"";""
"21";"Epoxy Cements";"";"ammonia";"";"7664-41-7";"H3N";"bases";"1";"recommended";"25";"140";"";"";"5";"";"";"";"";"";"";"";"";"";"";""
"22";"Epoxy Cements";"";"ammonia";"liquid";"7664-41-7";"H3N";"bases";"3";"not recommended";"100";"68";"<6";"liquid";"5";"";"";"";"";"";"";"";"";"";"";""
"23";"Epoxy Cements";"";"ammonia";"liquid";"7664-41-7";"H3N";"bases";"3";"not recommended";"100";"140";"";"liquid";"5";"";"";"";"";"";"";"";"";"";"";""
"24";"Epoxy Resin, Glass Fiber- Reinforced";"";"ammonia";"wet";"7664-41-7";"H3N";"bases";"1";"recommended";"90";"70 – 100";"";"";"1, 24";"";"";"";"";"";"";"";"";"";"";""
"25";"Epoxy Resin, Glass Fiber- Reinforced";"";"ammonia";"";"7664-41-7";"H3N";"bases";"1";"recommended";">90";"70 – 100";"";"";"1, 24";"";"";"";"";"";"";"";"";"";"";""
