sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Methylene chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"methylene chloride";"dichloromethane";"";"1975-09-02";"CH2Cl2";"solvents";"2";"questionable";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"methylene chloride";"dichloromethane";"";"1975-09-02";"CH2Cl2";"solvents";"2";"questionable";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"methylene chloride";"dichloromethane";"";"1975-09-02";"CH2Cl2";"solvents";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"4";"Cellulose Acetate";"";"methylene chloride";"dichloromethane";"";"1975-09-02";"CH2Cl2";"solvents";"3";"not recommended; disintegrated";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";""
"5";"Cellulose Acetate Butyrate";"";"methylene chloride";"dichloromethane";"";"1975-09-02";"CH2Cl2";"solvents";"3";"not recommended; disintegrated";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";""
"6";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"methylene chloride";"dichloromethane";"";"1975-09-02";"CH2Cl2";"solvents";"3";"not recommended";"100";"80";"<6";"";"16";"";"";"";"";"";"";"";"";"";""
"7";"Chlorinated Polyvinyl Chloride (CPVC)";"";"methylene chloride";"dichloromethane";"";"1975-09-02";"CH2Cl2";"solvents";"3";"not recommended";"100";"70 – 212";"";"";"1, 20";"";"";"";"";"";"";"";"";"";""
"8";"Chlorosulfonated Polyethylene";"";"methylene chloride";"dichloromethane";"";"1975-09-02";"CH2Cl2";"solvents";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"9";"Concrete";"";"methylene chloride";"dichloromethane";"";"1975-09-02";"CH2Cl2";"solvents";"1";"recommended";"100";"60 – 70";"";"~7pH; >7pH; no water; wet";"1";"";"";"";"";"";"";"";"";"";""
"10";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"methylene chloride";"dichloromethane";"";"1975-09-02";"CH2Cl2";"solvents";"3";"not recommended";">10";"75 – 482";">12";"";"1";"";"";"";"";"";"";"";"";"";""
