sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sodium nitrate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";""
"25";"Polychloroprene";"";"sodium nitrate";"chile saltpeter";"";"7631-99-4";"NNaO3";"salts";"1";"recommended";"90";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"26";"Polyesters, Glass Fiber-Reinforced";"";"sodium nitrate";"chile saltpeter";"";"7631-99-4";"NNaO3";"salts";"1";"recommended";"10";"70 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";""
"27";"Polyesters, Glass Fiber-Reinforced";"";"sodium nitrate";"chile saltpeter";"";"7631-99-4";"NNaO3";"salts";"1";"recommended; recommended with sodium chloride, sulfuric acid, 8:8:20";"10";"175 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";""
"28";"Polyesters, Glass Fiber-Reinforced";"";"sodium nitrate";"chile saltpeter";"";"7631-99-4";"NNaO3";"salts";"1";"recommended";">10";"70 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";""
"29";"Polyethylene (PE)";"";"sodium nitrate";"chile saltpeter";"";"7631-99-4";"NNaO3";"salts";"1";"recommended";"100";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";""
"30";"Polymethyl Methacrylate (PMMA)";"";"sodium nitrate";"chile saltpeter";"";"7631-99-4";"NNaO3";"salts";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"31";"Polypropylene (PP)";"";"sodium nitrate";"chile saltpeter";"";"7631-99-4";"NNaO3";"salts";"1";"recommended";"100";"60 – 212";"<6";"";"1";"";"";"";"";"";"";"";"";"";""
"32";"Polyvinyl Chloride (PVC)";"";"sodium nitrate";"chile saltpeter";"";"7631-99-4";"NNaO3";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"33";"Polyvinylidene Fluoride (PVDF)";"";"sodium nitrate";"chile saltpeter";"";"7631-99-4";"NNaO3";"salts";"1";"recommended";"100";"70 – 275";"";"";"1, 23";"";"";"";"";"";"";"";"";"";""
"34";"Rubber, Butyl (BR)";"";"sodium nitrate";"chile saltpeter";"saturated";"7631-99-4";"NNaO3";"salts";"1";"recommended";"90";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"35";"Rubber, Natural (NR)";"";"sodium nitrate";"chile saltpeter";"";"7631-99-4";"NNaO3";"salts";"1";"recommended";"90";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";""
"36";"Styrene Acrylonitrile Copolymer (SAN)";"";"sodium nitrate";"chile saltpeter";"";"7631-99-4";"NNaO3";"salts";"1";"recommended";"100";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";""
"37";"Vinyl Ester Resins";"";"sodium nitrate";"chile saltpeter";"";"7631-99-4";"NNaO3";"salts";"1";"recommended";">10";"70 – 210";"";"";"7";"";"";"";"";"";"";"";"";"";""
"38";"Wood";"";"sodium nitrate";"chile saltpeter";"";"7631-99-4";"NNaO3";"salts";"1";"recommended";"10 – 90";"70 – 175";"";"ignites when dry";"1";"";"";"";"";"";"";"";"";"";""
"39";"Wood";"";"sodium nitrate";"chile saltpeter";"";"7631-99-4";"NNaO3";"salts";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
