sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Barium sulfate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"barium sulfate";"";"7727-43-7";"BaO4S";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"barium sulfate";"saturated";"7727-43-7";"BaO4S";"salts";"1";"recommended";"100";"180";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"3";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"barium sulfate";"";"7727-43-7";"BaO4S";"salts";"1";"recommended";">10";"80 – 250";">12";"slurry";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Epoxy Resin, Glass Fiber- Reinforced";"";"barium sulfate";"saturated";"7727-43-7";"BaO4S";"salts";"1";"recommended";"100";"70 – 250";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"5";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"barium sulfate";"";"7727-43-7";"BaO4S";"salts";"1";"recommended";"100";"70 – 150";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Nylon";"";"barium sulfate";"";"7727-43-7";"BaO4S";"salts";"1";"recommended";"10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Polyesters, Glass Fiber-Reinforced";"";"barium sulfate";"saturated";"7727-43-7";"BaO4S";"salts";"1";"recommended";"10";"70 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Polyethylene (PE)";"";"barium sulfate";"saturated";"7727-43-7";"BaO4S";"salts";"1";"recommended";"10";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";""
"9";"Polymethyl Methacrylate (PMMA)";"";"barium sulfate";"";"7727-43-7";"BaO4S";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"10";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"barium sulfate";"";"7727-43-7";"BaO4S";"salts";"1";"recommended";"100";"0 – 200";"<1";"";"11";"";"";"";"";"";"";"";"";"";"";""
"11";"Polypropylene (PP)";"";"barium sulfate";"saturated";"7727-43-7";"BaO4S";"salts";"1";"recommended";"10";"60 – 150";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";""
"12";"Polyvinyl Chloride (PVC)";"";"barium sulfate";"";"7727-43-7";"BaO4S";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"13";"Polyvinylidene Chloride (PVDC)";"Saran brand resin";"barium sulfate";"";"7727-43-7";"BaO4S";"salts";"1";"recommended";"100";"175";"";"";"6";"";"";"";"";"";"";"";"";"";"";""
"14";"Styrene Acrylonitrile Copolymer (SAN)";"";"barium sulfate";"crystal, powders, solids";"7727-43-7";"BaO4S";"salts";"1";"recommended";"100";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"15";"Vinyl Ester Resins";"";"barium sulfate";"saturated";"7727-43-7";"BaO4S";"salts";"1";"recommended";"10 – 50";"70 – 250";"";"";"7";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
