sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Mononitrotoluene";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"mononitrotoluene";"100";"25 – 225";"<2";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"mononitrotoluene";"100";"25 – 225";"<2";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"mononitrotoluene";"100";"25 – 225";"<2";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"mononitrotoluene";"100";"25 – 225";"<20";"216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"mononitrotoluene";"100";"25 – 225";"<2";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"mononitrotoluene";"100";"25 – 225";"<2";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Brass (>15Zn)";"mononitrotoluene";"100";"25 – 225";"<20";"216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cast Iron, Gray/ Ductile";"mononitrotoluene";"100";"25 – 225";"<20";"216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Copper/ Bronze/ Low Brass";"mononitrotoluene";"100";"25 – 225";"<20";"216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper-Nickel";"mononitrotoluene";"100";"25 – 225";"<20";"216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Cr Stainless Steel (12Cr)";"mononitrotoluene";"100";"25 – 225";"<2";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cr Stainless Steel (17Cr)";"mononitrotoluene";"100";"25 – 225";"<2";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Gold/ Platinum";"mononitrotoluene";"100";"25 – 225";"<2";"216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Lead";"mononitrotoluene";"100";"25 – 225";"<20";"216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Nickel (200)";"mononitrotoluene";"100";"25 – 225";"<20";"216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Nickel Cast Iron (15-35Ni)";"mononitrotoluene";"100";"25 – 225";"<20";"216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Nickel-Copper (400)";"mononitrotoluene";"100";"25 – 225";"<20";"216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Ni-Cr-Fe Alloy (600/ 690)";"mononitrotoluene";"100";"25 – 225";"<20";"216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Silicon Cast Iron (14Si)";"mononitrotoluene";"100";"52 – 237";"<20";"216,218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Silver";"mononitrotoluene";"100";"25 – 225";"<2";"216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Steels, Carbon/ Low Alloy";"mononitrotoluene";"100";"25 – 225";"<20";"216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Superferritic Stainless Steel (26-1)";"mononitrotoluene";"100";"25 – 225";"<2";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Tantalum";"mononitrotoluene";"100";"25 – 225";"<2";"216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
