sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sodium thiocyanate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Concrete";"sodium thiocyanate";"";"540-72-7";"CNNaS";"salts";"1";"recommended";"10 – 20";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"sodium thiocyanate";"";"540-72-7";"CNNaS";"salts";"1";"recommended; over 3 years";">10";"50 – 200";">12";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Epoxy Resin, Glass Fiber- Reinforced";"sodium thiocyanate";"";"540-72-7";"CNNaS";"salts";"1";"recommended";">10";"70 – 212";"";"1, 19";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Epoxy Resin, Glass Fiber- Reinforced";"sodium thiocyanate";"saturated";"540-72-7";"CNNaS";"salts";"1";"recommended";"100";"70 – 212";"";"1, 19";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Glassed Steel";"sodium thiocyanate";"";"540-72-7";"CNNaS";"salts";"1";"recommended; questionable ";">10";"50 – 300";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Polyethylene (PE)";"sodium thiocyanate";"";"540-72-7";"CNNaS";"salts";"1";"recommended";"10 – 90";"70 – 150";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Wood";"sodium thiocyanate";"";"540-72-7";"CNNaS";"salts";"1";"recommended";"10 – 90";"70 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
