sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Maleic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"";"5 – 35";"52 – 237";"<20";"";"69,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"";"35 – 45";"52 – 145";"<2";"";"69,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"";"35 – 45";"145 – 237";"<20";"";"69,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"";"45 – 55";"52 – 237";"<20";"";"69,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 30-44-5-3W (G-30)";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"";"5 – 35";"52 – 237";"<20";"";"69,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 30-44-5-3W (G-30)";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"";"35 – 45";"52 – 145";"<2";"";"69,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 30-44-5-3W (G-30)";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"";"35 – 45";"145 – 237";"<20";"";"69,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Alloy 30-44-5-3W (G-30)";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"";"45 – 55";"52 – 237";"<20";"";"69,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Aluminum Alloy (3003/ 5154)";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"";"5 – 25";"52 – 102";"<2";"";"69,218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Aluminum Alloy (3003/ 5154)";"maleic acid";"110-16-7";"C4H4O4";"organic (weak) acids";"";"5 – 55";"187 – 237";">50";"";"69,218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
