sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Benzene";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"benzene";"[6]annulene";"";"71-43-2";"C6H6";"aromatics";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"2";"Acetal Resins (Polyoxymethylene)";"";"benzene";"[6]annulene";"";"71-43-2";"C6H6";"aromatics";"3";"not recommended; weight loss, ";"100";"125 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"benzene";"[6]annulene";"";"71-43-2";"C6H6";"aromatics";"3";"not recommended; softened, ";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"4";"Carbon-Graphite Composites";"";"benzene";"[6]annulene";"";"71-43-2";"C6H6";"aromatics";"1";"recommended";"100";"70 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";""
"5";"Cellulose Acetate";"";"benzene";"[6]annulene";"";"71-43-2";"C6H6";"aromatics";"3";"not recommended; softened; swollen; weight gain";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";""
"6";"Cellulose Acetate Butyrate";"";"benzene";"[6]annulene";"";"71-43-2";"C6H6";"aromatics";"3";"not recommended; disintegrated";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";""
"7";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"benzene";"[6]annulene";"";"71-43-2";"C6H6";"aromatics";"1";"recommended";"100";"75";"<6";"";"16";"";"";"";"";"";"";"";"";"";""
"8";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"benzene";"[6]annulene";"";"71-43-2";"C6H6";"aromatics";"1";"recommended";"100";"75";"<6";"";"16";"";"";"";"";"";"";"";"";"";""
"9";"Chlorinated Polyvinyl Chloride (CPVC)";"";"benzene";"[6]annulene";"";"71-43-2";"C6H6";"aromatics";"3";"not recommended";"100";"70 – 212";"";"";"1, 20";"";"";"";"";"";"";"";"";"";""
"10";"Chlorosulfonated Polyethylene";"";"benzene";"[6]annulene";"";"71-43-2";"C6H6";"aromatics";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"11";"Concrete";"";"benzene";"[6]annulene";"";"71-43-2";"C6H6";"aromatics";"1";"recommended";"100";"60 – 70";"";"permeable";"1";"";"";"";"";"";"";"";"";"";""
"12";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"benzene";"[6]annulene";"";"71-43-2";"C6H6";"aromatics";"1";"recommended; over 3 years";">10";"50 – 150";">12";"";"1";"";"";"";"";"";"";"";"";"";""
"13";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"benzene";"[6]annulene";"";"71-43-2";"C6H6";"aromatics";"3";"not recommended";">10";"150 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";""
"14";"Epoxy Resin, Glass Fiber- Reinforced";"";"benzene";"[6]annulene";"";"71-43-2";"C6H6";"aromatics";"1";"recommended";"5";"70 – 200";"";"in kerosene";"1, 19";"";"";"";"";"";"";"";"";"";""
"15";"Epoxy Resin, Glass Fiber- Reinforced";"";"benzene";"[6]annulene";"";"71-43-2";"C6H6";"aromatics";"1";"recommended";"100";"70 – 150";"";"";"1, 19";"";"";"";"";"";"";"";"";"";""
"16";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"Teflon; Hostaflon; Fluon";"benzene";"[6]annulene";"";"71-43-2";"C6H6";"aromatics";"1";"recommended";"100";"250 – 300";">12";"permeation limited - max  temperature 149°C (300°F)";"10";"";"";"";"";"";"";"";"";"";""
"17";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"benzene";"[6]annulene";"";"71-43-2";"C6H6";"aromatics";"1";"recommended";"100";"70 – 90";"";"cyclic immersion";"1, 22";"";"";"";"";"";"";"";"";"";""
"18";"Fluororubber";"";"benzene";"[6]annulene";"";"71-43-2";"C6H6";"aromatics";"3";"not recommended; swollen; weight gain; may dissolve";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";""
"19";"Furfuryl Alcohol Resin, Asbestos-Reinforced";"";"benzene";"[6]annulene";"";"71-43-2";"C6H6";"aromatics";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";""
"20";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"benzene";"[6]annulene";"";"71-43-2";"C6H6";"aromatics";"1";"recommended";"100";"70 – 175";">12";"";"1";"";"";"";"";"";"";"";"";"";""
"21";"Glass, Chemical";"";"benzene";"[6]annulene";"";"71-43-2";"C6H6";"aromatics";"1";"recommended";"100";"70 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";""
"22";"Glassed Steel";"";"benzene";"[6]annulene";"";"71-43-2";"C6H6";"aromatics";"1";"recommended; questionable ";">10";"50 – 300";"";"";"1";"";"";"";"";"";"";"";"";"";""
"23";"Nylon";"";"benzene";"[6]annulene";"";"71-43-2";"C6H6";"aromatics";"1";"recommended";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";""
"24";"Nylon";"";"benzene";"[6]annulene";"";"71-43-2";"C6H6";"aromatics";"1";"recommended";"100";"150 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";""
"25";"Phenolic Resins, Asbestos-Reinforced";"";"benzene";"[6]annulene";"";"71-43-2";"C6H6";"aromatics";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"26";"Phenolic Resins, Asbestos-Reinforced";"";"benzene";"[6]annulene";"";"71-43-2";"C6H6";"aromatics";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";""
"27";"Phenolic Resins, Asbestos-Reinforced";"";"benzene";"[6]annulene";"";"71-43-2";"C6H6";"aromatics";"3";"not recommended";"100";"80 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"28";"Phenolic Resins, Non-asbestos";"Haveg 41-NA";"benzene";"[6]annulene";"liquid";"71-43-2";"C6H6";"aromatics";"1";"recommended; slight weight/volume change";"100";"104 – 120";"";"91 days at 40°C (104°F)";"3";"";"";"";"";"";"";"";"";"";""
"29";"Phenolic Resins, Non-asbestos";"";"benzene";"[6]annulene";"";"71-43-2";"C6H6";"aromatics";"1";"recommended";"100";"120 – 145";"";"182 days at 49°C (120°F)";"3";"";"";"";"";"";"";"";"";"";""
