sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Chlorosulfonated Polyethylene";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Chlorosulfonated Polyethylene";"acrylonitrile";"propenenitrile";"";"107-13-1";"C3H3N";"nitriles";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Chlorosulfonated Polyethylene";"adipic acid";"";"saturated";"124-04-9";"C6H10O4";"organic (weak) acids";"1";"recommended";"10";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Chlorosulfonated Polyethylene";"allyl alcohol";"2-propen-1-ol";"";"107-18-6";"C3H6O";"alcohols";"1";"recommended";"96";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Chlorosulfonated Polyethylene";"allyl alcohol";"2-propen-1-ol";"";"107-18-6";"C3H6O";"alcohols";"2";"questionable";"96";"150 – 175";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Chlorosulfonated Polyethylene";"aluminum chloride";"aluminum trichloride";"saturated";"7446-70-0";"AlCl3";"salts";"1";"recommended";"10 – 70";"70 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Chlorosulfonated Polyethylene";"aluminum fluoride";"aluminum trifluoride";"";"7784-18-1";"AlF3";"salts";"1";"recommended";"10";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Chlorosulfonated Polyethylene";"aluminum potassium sulfate";"potassium aluminum sulfate";"saturated";"10043-67-1";"AlKO8S2";"salts";"1";"recommended";">10";"70 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Chlorosulfonated Polyethylene";"aluminum sulfate";"alunogenite";"saturated";"10043-01-3";"Al2O12S3";"salts";"1";"recommended";">10";"70 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Chlorosulfonated Polyethylene";"aminoacetic acid";"glycine";"";"56-40-6";"C2H5NO2";"organic (weak) acids";"2";"questionable";"10";"70 – 100";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Chlorosulfonated Polyethylene";"ammonia";"";"";"7664-41-7";"H3N";"bases";"1";"recommended";"10";"100 – 140";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Chlorosulfonated Polyethylene";"ammonia";"";"saturated";"7664-41-7";"H3N";"bases";"1";"recommended";"10";"140 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Chlorosulfonated Polyethylene";"ammonia";"";"liquid";"7664-41-7";"H3N";"bases";"1";"recommended";"100";"-27.4";"liquid";"1";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Chlorosulfonated Polyethylene";"ammonia";"";"";"7664-41-7";"H3N";"bases";"2";"questionable";"100";"70 – 135";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Chlorosulfonated Polyethylene";"ammonia";"";"";"7664-41-7";"H3N";"bases";"2";"questionable";"100";"135 – 150";"no water";"1";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Chlorosulfonated Polyethylene";"ammonium acetate";"";"";"631-61-8";"C2H7NO2";"salts";"1";"recommended";">10";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Chlorosulfonated Polyethylene";"ammonium carbonate";"";"";"506-87-6";"CH8N2O3";"salts";"1";"recommended";">10";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Chlorosulfonated Polyethylene";"ammonium chloride";"sal ammoniac";"saturated";"12125-02-9";"ClH4N";"salts";"1";"recommended";"10 – 50";"70 – 90";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Chlorosulfonated Polyethylene";"ammonium chloride";"sal ammoniac";"";"12125-02-9";"ClH4N";"salts";"1";"recommended";"10 – 80";"90 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Chlorosulfonated Polyethylene";"ammonium fluoride";"";"";"12125-01-8";"FH4N";"salts";"1";"recommended";"10 – 20";"70 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Chlorosulfonated Polyethylene";"ammonium hydroxide";"ammonia solution";"";"1336-21-6";"H5NO";"bases";"1";"recommended";"10 – 30";"70 – 100";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Chlorosulfonated Polyethylene";"ammonium nitrate";"";"saturated";"6484-52-2";"H4N2O3";"salts";"1";"recommended";">10";"70 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Chlorosulfonated Polyethylene";"ammonium phosphate";"";"";"";"";"salts";"1";"recommended";">10";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Chlorosulfonated Polyethylene";"ammonium sulfate";"";"saturated";"7783-20-2";"H8N2O4S";"salts";"1";"recommended";">10";"70 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Chlorosulfonated Polyethylene";"ammonium sulfide";"";"saturated";"12135-76-1";"H8N2S";"salts";"1";"recommended";">10";"70 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Chlorosulfonated Polyethylene";"amyl acetate";"pentyl acetate";"";"628-63-7";"C7H14O2";"esters";"3";"not recommended";"any";"0 – 250";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Chlorosulfonated Polyethylene";"amyl alcohol";"1-pentanol";"";"71-41-0";"C5H12O";"alcohols";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Chlorosulfonated Polyethylene";"aniline";"benzenamine";"";"62-53-3";"C6H7N";"amines";"3";"not recommended";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Chlorosulfonated Polyethylene";"aniline";"benzenamine";"";"62-53-3";"C6H7N";"amines";"3";"not recommended";"100";"90 – 100";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Chlorosulfonated Polyethylene";"aniline hydrochloride";"benzenamine hydrochloride";"saturated";"142-04-1";"C6H8ClN";"amino salts";"1";"recommended";">10";"70 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Chlorosulfonated Polyethylene";"anisole";"methoxybenzene";"";"100-66-3";"C7H8O";"aromatics";"1";"recommended";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Chlorosulfonated Polyethylene";"anthraquinonesulfonic acid";"";"";"";"";"surfactants & detergents";"1";"recommended";"10";"70 – 90";"suspension";"1";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Chlorosulfonated Polyethylene";"antimony chloride";"antimony trichloride";"";"10025-91-9";"Cl3Sb";"salts";"1";"recommended";"90";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Chlorosulfonated Polyethylene";"antimony chloride";"antimony trichloride";"";"10025-91-9";"Cl3Sb";"salts";"1";"recommended";"100";"70 – 150";"no water";"1";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Chlorosulfonated Polyethylene";"arsenic acid";"orthoarsenic acid";"";"7778-39-4";"AsH3O4";"inorganic acids";"1";"recommended";"10";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Chlorosulfonated Polyethylene";"arsenic acid";"orthoarsenic acid";"";"7778-39-4";"AsH3O4";"inorganic acids";"1";"recommended";"80";"70 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Chlorosulfonated Polyethylene";"asphalt";"";"";"";"";"petroleum products";"2";"questionable";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Chlorosulfonated Polyethylene";"barium chloride";"";"";"10361-37-2";"BaCl2";"salts";"1";"recommended";"10 – 60";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Chlorosulfonated Polyethylene";"barium hydroxide";"caustic baryta";"";"17194-00-2";"BaH2O2";"hydroxides";"1";"recommended";">10";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
