sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Acetaldehyde";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";">5";"25 – 225";"<2";"";"1,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";">5";"25 – 225";"<2";"";"1,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";">5";"25 – 225";"<2";"";"1,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";"5 – 15";"25 – 225";"<2";"";"1,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";">5";"25 – 75";"<2";"";"1,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Aluminum Alloy (3003/ 5154)";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";"85 – 95";"25 – 225";"<2";"";"1,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";">5";"25 – 125";"<2";"";"1,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";">5";"25 – 225";"<2";"";"1,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Brass (>15Zn)";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";">5";"25 – 225";"<2";"";"1,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Cast Iron, Gray/ Ductile";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";"5 – 15";"25 – 75";"20 – 50";"";"1,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Cast Iron, Gray/ Ductile";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";"100";"25 – 125";"<2";"";"1,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Copper/ Bronze/ Low Brass";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";">5";"25 – 225";"<2";"";"1,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Copper-Nickel";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";">5";"25 – 225";"<2";"";"1,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Cr Stainless Steel (12Cr)";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";"100";"25 – 125";"<2";"";"1,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Cr Stainless Steel (17Cr)";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";"100";"25 – 125";"<2";"";"1,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Gold/ Platinum";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";"100";"25 – 75";"<2";"";"1,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Lead";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";"5 – 15";"25 – 225";"<2";"";"1,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Lead";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";">5";"25 – 75";"<2";"";"1,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Lead";"acetaldehyde";"ethanal";"75-07-0";"C2H4O";"aldehydes";"85 – 95";"25 – 225";"<2";"";"1,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
