sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Fluosilicic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Alloy 30-44-5-3W (G-30)";"fluosilicic acid";"inorganic acids";"";"5 – 15";"25 – 125";"<2";"";"52,130,174,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Alloy 30-44-5-3W (G-30)";"fluosilicic acid";"inorganic acids";"";"5 – 20";"125 – 175";"<20";"";"52,130,174,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Alloy 30-44-5-3W (G-30)";"fluosilicic acid";"inorganic acids";"pitting";"5 – 25";"25 – 75";"<2";"";"52,130,174,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Alloy 30-44-5-3W (G-30)";"fluosilicic acid";"inorganic acids";"";"15 – 25";"75 – 122";"<20";"";"52,130,174,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Alloy 30-44-5-3W (G-30)";"fluosilicic acid";"inorganic acids";"";"20";"0 – 68";"<2";"";"52,130,174,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Alloy 30-44-5-3W (G-30)";"fluosilicic acid";"inorganic acids";"";"20";"122 – 140";"20 – 50";"";"52,130,174,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Alloy 30-44-5-3W (G-30)";"fluosilicic acid";"inorganic acids";"";"100";"25 – 175";"<20";"";"52,130,174,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Aluminum Alloy (3003/ 5154)";"fluosilicic acid";"inorganic acids";"";"5 – 15";"25 – 75";">50";"";"52,130,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Aluminum Alloy (3003/ 5154)";"fluosilicic acid";"inorganic acids";"";"25 – 35";"25 – 75";">50";"";"52,130,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Aluminum Alloy (3003/ 5154)";"fluosilicic acid";"inorganic acids";"";"100";"25 – 75";">50";"";"52,130,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
