sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Cupric chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"cupric chloride";"copper chloride";"7447-39-4";"Cl2Cu";"salts";"";"5 – 45";"25 – 75";"<20";"41,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"cupric chloride";"copper chloride";"7447-39-4";"Cl2Cu";"salts";"";"5 – 45";"25 – 75";"<20";"41,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"cupric chloride";"copper chloride";"7447-39-4";"Cl2Cu";"salts";"";"5 – 45";"25 – 75";"<20";"41,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"cupric chloride";"copper chloride";"7447-39-4";"Cl2Cu";"salts";"";"5 – 45";"25 – 75";"<20";"41,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Nickel (200)";"cupric chloride";"copper chloride";"7447-39-4";"Cl2Cu";"salts";"";"5 – 15";"25 – 75";">50";"41,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Nickel (200)";"cupric chloride";"copper chloride";"7447-39-4";"Cl2Cu";"salts";"";"25 – 35";"25 – 75";">50";"41,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Nickel Cast Iron (15-35Ni)";"cupric chloride";"copper chloride";"7447-39-4";"Cl2Cu";"salts";"";"5 – 15";"25 – 75";">50";"41,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Nickel Cast Iron (15-35Ni)";"cupric chloride";"copper chloride";"7447-39-4";"Cl2Cu";"salts";"";"25 – 35";"25 – 75";">50";"41,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Nickel-Copper (400)";"cupric chloride";"copper chloride";"7447-39-4";"Cl2Cu";"salts";"";"5 – 25";"25 – 75";"<20";"41,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Ni-Mo Alloy (Ni-30Mo; B-2)";"cupric chloride";"copper chloride";"7447-39-4";"Cl2Cu";"salts";"";"5 – 45";"25 – 75";"<20";"41,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
