sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Palmitic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"palmitic acid";"hexadecanoic acid";"1957-10-03";"C16H32O2";"organic (weak) acids";"1";"recommended";"10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"palmitic acid";"hexadecanoic acid";"1957-10-03";"C16H32O2";"organic (weak) acids";"2";"questionable";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"palmitic acid";"hexadecanoic acid";"1957-10-03";"C16H32O2";"organic (weak) acids";"3";"not recommended";"70";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"palmitic acid";"hexadecanoic acid";"1957-10-03";"C16H32O2";"organic (weak) acids";"1";"recommended";"100";"135";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"5";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"palmitic acid";"hexadecanoic acid";"1957-10-03";"C16H32O2";"organic (weak) acids";"1";"recommended";"100";"140";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorinated Polyvinyl Chloride (CPVC)";"";"palmitic acid";"hexadecanoic acid";"1957-10-03";"C16H32O2";"organic (weak) acids";"1";"recommended";"10";"70 – 150";"";"";"1, 2";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorinated Polyvinyl Chloride (CPVC)";"";"palmitic acid";"hexadecanoic acid";"1957-10-03";"C16H32O2";"organic (weak) acids";"1";"recommended";"70";"70 – 150";"";"";"1, 2";"";"";"";"";"";"";"";"";"";"";""
"8";"Chlorosulfonated Polyethylene";"";"palmitic acid";"hexadecanoic acid";"1957-10-03";"C16H32O2";"organic (weak) acids";"2";"questionable";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"9";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"palmitic acid";"hexadecanoic acid";"1957-10-03";"C16H32O2";"organic (weak) acids";"1";"recommended";"100";"70 – 150";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";""
"10";"Polyesters, Glass Fiber-Reinforced";"";"palmitic acid";"hexadecanoic acid";"1957-10-03";"C16H32O2";"organic (weak) acids";"1";"recommended";"100";"70 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
