sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Pyridine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"1";"recommended";">10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"3";"not recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"3";"not recommended";"100";"75";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"5";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"3";"not recommended";"100";"75";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorosulfonated Polyethylene";"";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"2";"questionable";">10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorosulfonated Polyethylene";"";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"3";"not recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Concrete";"";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"1";"recommended";">10";"60 – 70";"";"densified concrete";"1";"";"";"";"";"";"";"";"";"";"";""
"9";"Epoxy Cements";"";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"1";"recommended";"1";"68";"";"";"5";"";"";"";"";"";"";"";"";"";"";""
"10";"Epoxy Cements";"";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"3";"not recommended";"1";"140";"";"";"5";"";"";"";"";"";"";"";"";"";"";""
"11";"Epoxy Cements";"";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"3";"not recommended";"100";"68";"<6";"";"5";"";"";"";"";"";"";"";"";"";"";""
"12";"Epoxy Cements";"";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"3";"not recommended";"100";"140";"";"";"5";"";"";"";"";"";"";"";"";"";"";""
"13";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"3";"not recommended";"any";"0 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"14";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"1";"recommended";"100";"60 – 90";"";"cyclic immersion; immersed";"1, 22";"";"";"";"";"";"";"";"";"";"";""
"15";"Fluororubber";"";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"3";"not recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"16";"Furfuryl Alcohol Resin, Asbestos-Reinforced";"";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"3";"not recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"17";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"3";"not recommended";"any";"0 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"18";"Glass, Chemical";"";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"1";"recommended";">10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"19";"Nylon";"";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"1";"recommended";"100";"60 – 70";"";"no water, wet";"1";"";"";"";"";"";"";"";"";"";"";""
"20";"Phenolic Resins, Asbestos-Reinforced";"";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"21";"Phenolic Resins, Asbestos-Reinforced";"";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"3";"not recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
