sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sodium silicate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"51";"Nickel-Copper (400)";"sodium silicate";">5";"150 – 225";"<2";"93,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"52";"Ni-Cr-Fe Alloy (600/ 690)";"sodium silicate";"5 – 95";"25 – 150";"<2";"93,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"53";"Ni-Cr-Fe Alloy (600/ 690)";"sodium silicate";">5";"150 – 225";"<2";"93,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"54";"Ni-Cr-Fe Alloy (600/ 690)";"sodium silicate";">65";"225 – 275";"<2";"93,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"55";"Ni-Mo Alloy (Ni-30Mo; B-2)";"sodium silicate";"5 – 15";"25 – 225";"<20";"93,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"56";"Niobium (Columbium)";"sodium silicate";"<70";"77";">50";"93,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"57";"Silicon Cast Iron (14Si)";"sodium silicate";"5 – 95";"52 – 150";"<20";"93,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"58";"Silicon Cast Iron (14Si)";"sodium silicate";">5";"150 – 237";"<20";"93,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"59";"Silver";"sodium silicate";"5 – 95";"25 – 150";"<2";"93,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"60";"Silver";"sodium silicate";">5";"150 – 225";"<2";"93,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"61";"Steels, Carbon/ Low Alloy";"sodium silicate";"5 – 95";"25 – 150";"<2";"93,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"62";"Steels, Carbon/ Low Alloy";"sodium silicate";">5";"150 – 225";"<2";"93,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"63";"Steels, Carbon/ Low Alloy";"sodium silicate";">65";"225 – 275";"<20";"93,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"64";"Superferritic Stainless Steel (26-1)";"sodium silicate";"5 – 95";"25 – 150";"<2";"93,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"65";"Superferritic Stainless Steel (26-1)";"sodium silicate";">5";"150 – 225";"<2";"93,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"66";"Tantalum";"sodium silicate";"5 – 95";"25 – 150";"<2";"93,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"67";"Tantalum";"sodium silicate";">5";"150 – 225";"<2";"93,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"68";"Titanium, Unalloyed";"sodium silicate";"1 – 90";"212";"<2";"93,198,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"69";"Titanium, Unalloyed";"sodium silicate";"5 – 95";"25 – 150";"<2";"93,198,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"70";"Titanium, Unalloyed";"sodium silicate";">5";"150 – 225";"<2";"93,198,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"71";"Zirconium";"sodium silicate";"5 – 95";"25 – 150";"<2";"93,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"72";"Zirconium";"sodium silicate";">5";"150 – 225";"<2";"93,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
