sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Furfural";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Gold/ Platinum";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";"100";"25 – 325";"<2";"";"54,139,209,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Lead";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"pitting";"100";"25 – 225";"<20";"";"54,139,209,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";"5 – 10";"25 – 225";"<2";"";"54,139,209,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";"100";"25 – 75";"<20";"";"54,139,209,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";"5 – 10";"25 – 225";"<2";"";"54,139,209,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";"100";"25 – 75";"<20";"";"54,139,209,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";"5 – 10";"25 – 225";"<2";"";"54,139,209,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";"100";"25 – 75";"<20";"";"54,139,209,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";"5 – 10";"25 – 225";"<2";"";"54,139,209,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";"100";"25 – 75";"<20";"";"54,139,209,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";"5 – 10";"25 – 225";"<2";"";"54,139,209,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";"100";"25 – 75";"<20";"";"54,139,209,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Nickel (200)";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";"5 – 10";"25 – 225";"<2";"";"54,139,209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Nickel (200)";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";"100";"25 – 425";"<2";"";"54,139,209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Nickel Cast Iron (15-35Ni)";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";"5 – 10";"25 – 225";"<2";"";"54,139,209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Nickel Cast Iron (15-35Ni)";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";"100";"25 – 325";"<2";"";"54,139,209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Nickel-Copper (400)";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";"100";"25 – 425";"<2";"";"54,139,209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Ni-Mo Alloy (Ni-30Mo; B-2)";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";"5 – 10";"25 – 225";"<20";"";"54,139,209,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Ni-Mo Alloy (Ni-30Mo; B-2)";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";"100";"25 – 325";"<20";"";"54,139,209,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Silicon Cast Iron (14Si)";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";"15 – 25";"52 – 237";"<20";"with sulfuric acid";"54,139,209,218";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Silicon Cast Iron (14Si)";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";"45 – 55";"52 – 237";"<20";"";"54,139,209,218";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Silicon Cast Iron (14Si)";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";"65 – 75";"52 – 237";"<20";"";"54,139,209,218";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Silicon Cast Iron (14Si)";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";">85";"52 – 327";"<20";"";"54,139,209,218";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Silver";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";"100";"25 – 375";"<20";"";"54,139,209,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Steels, Carbon/ Low Alloy";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";"100";"25 – 125";"<2";"";"54,139,209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Steels, Carbon/ Low Alloy";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";"100";"125 – 175";"<20";"";"54,139,209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Steels, Carbon/ Low Alloy";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"";"100";"175 – 225";">50";"";"54,139,209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
