sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Bromine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"bromine";"dry";"7726-95-6";"Br2";"";"100";"0 – 68";"20 – 50";"20,129,165";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Aluminum Alloy (3003/ 5154)";"bromine";"dry";"7726-95-6";"Br2";"";"100";"25 – 75";"<20";"20,129,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"bromine";"dry";"7726-95-6";"Br2";"";"100";"25 – 75";">50";"20,129,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"bromine";"dry";"7726-95-6";"Br2";"";"100";"25 – 75";">50";"20,129,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Brass (>15Zn)";"bromine";"dry";"7726-95-6";"Br2";"";"85 – 95";"25 – 75";">50";"20,129,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Brass (>15Zn)";"bromine";"dry";"7726-95-6";"Br2";"";"100";"25 – 75";"20 – 50";"20,129,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Cast Iron, Gray/ Ductile";"bromine";"dry";"7726-95-6";"Br2";"";"100";"25 – 75";"20 – 50";"20,129,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cast Iron, Gray/ Ductile";"bromine";"dry";"7726-95-6";"Br2";"";"100";"75 – 125";">50";"20,129,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Copper/ Bronze/ Low Brass";"bromine";"dry";"7726-95-6";"Br2";"";"85 – 95";"25 – 75";">50";"20,129,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper/ Bronze/ Low Brass";"bromine";"dry";"7726-95-6";"Br2";"";"100";"25 – 125";"20 – 50";"20,129,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
