sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: 1,1,2-Trichlorotrifluoroethane";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"1,1,2-trichlorotrifluoroethane";"1,1,2-trichloro-1,2,2-trifluoroethane";"76-13-1";"C2Cl3F3";"chlorofluorocarbons";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"1,1,2-trichlorotrifluoroethane";"1,1,2-trichloro-1,2,2-trifluoroethane";"76-13-1";"C2Cl3F3";"chlorofluorocarbons";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"1,1,2-trichlorotrifluoroethane";"1,1,2-trichloro-1,2,2-trifluoroethane";"76-13-1";"C2Cl3F3";"chlorofluorocarbons";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"1,1,2-trichlorotrifluoroethane";"1,1,2-trichloro-1,2,2-trifluoroethane";"76-13-1";"C2Cl3F3";"chlorofluorocarbons";"hazardous!";"100";"25 – 75";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"1,1,2-trichlorotrifluoroethane";"1,1,2-trichloro-1,2,2-trifluoroethane";"76-13-1";"C2Cl3F3";"chlorofluorocarbons";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"1,1,2-trichlorotrifluoroethane";"1,1,2-trichloro-1,2,2-trifluoroethane";"76-13-1";"C2Cl3F3";"chlorofluorocarbons";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Brass (>15Zn)";"1,1,2-trichlorotrifluoroethane";"1,1,2-trichloro-1,2,2-trifluoroethane";"76-13-1";"C2Cl3F3";"chlorofluorocarbons";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cast Iron, Gray/ Ductile";"1,1,2-trichlorotrifluoroethane";"1,1,2-trichloro-1,2,2-trifluoroethane";"76-13-1";"C2Cl3F3";"chlorofluorocarbons";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Copper/ Bronze/ Low Brass";"1,1,2-trichlorotrifluoroethane";"1,1,2-trichloro-1,2,2-trifluoroethane";"76-13-1";"C2Cl3F3";"chlorofluorocarbons";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper-Nickel";"1,1,2-trichlorotrifluoroethane";"1,1,2-trichloro-1,2,2-trifluoroethane";"76-13-1";"C2Cl3F3";"chlorofluorocarbons";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Cr Stainless Steel (12Cr)";"1,1,2-trichlorotrifluoroethane";"1,1,2-trichloro-1,2,2-trifluoroethane";"76-13-1";"C2Cl3F3";"chlorofluorocarbons";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cr Stainless Steel (17Cr)";"1,1,2-trichlorotrifluoroethane";"1,1,2-trichloro-1,2,2-trifluoroethane";"76-13-1";"C2Cl3F3";"chlorofluorocarbons";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Lead";"1,1,2-trichlorotrifluoroethane";"1,1,2-trichloro-1,2,2-trifluoroethane";"76-13-1";"C2Cl3F3";"chlorofluorocarbons";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"1,1,2-trichlorotrifluoroethane";"1,1,2-trichloro-1,2,2-trifluoroethane";"76-13-1";"C2Cl3F3";"chlorofluorocarbons";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"1,1,2-trichlorotrifluoroethane";"1,1,2-trichloro-1,2,2-trifluoroethane";"76-13-1";"C2Cl3F3";"chlorofluorocarbons";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"1,1,2-trichlorotrifluoroethane";"1,1,2-trichloro-1,2,2-trifluoroethane";"76-13-1";"C2Cl3F3";"chlorofluorocarbons";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"1,1,2-trichlorotrifluoroethane";"1,1,2-trichloro-1,2,2-trifluoroethane";"76-13-1";"C2Cl3F3";"chlorofluorocarbons";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"1,1,2-trichlorotrifluoroethane";"1,1,2-trichloro-1,2,2-trifluoroethane";"76-13-1";"C2Cl3F3";"chlorofluorocarbons";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Nickel (200)";"1,1,2-trichlorotrifluoroethane";"1,1,2-trichloro-1,2,2-trifluoroethane";"76-13-1";"C2Cl3F3";"chlorofluorocarbons";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Nickel Cast Iron (15-35Ni)";"1,1,2-trichlorotrifluoroethane";"1,1,2-trichloro-1,2,2-trifluoroethane";"76-13-1";"C2Cl3F3";"chlorofluorocarbons";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Nickel-Copper (400)";"1,1,2-trichlorotrifluoroethane";"1,1,2-trichloro-1,2,2-trifluoroethane";"76-13-1";"C2Cl3F3";"chlorofluorocarbons";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Ni-Cr-Fe Alloy (600/ 690)";"1,1,2-trichlorotrifluoroethane";"1,1,2-trichloro-1,2,2-trifluoroethane";"76-13-1";"C2Cl3F3";"chlorofluorocarbons";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Ni-Mo Alloy (Ni-30Mo; B-2)";"1,1,2-trichlorotrifluoroethane";"1,1,2-trichloro-1,2,2-trifluoroethane";"76-13-1";"C2Cl3F3";"chlorofluorocarbons";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Steels, Carbon/ Low Alloy";"1,1,2-trichlorotrifluoroethane";"1,1,2-trichloro-1,2,2-trifluoroethane";"76-13-1";"C2Cl3F3";"chlorofluorocarbons";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Superferritic Stainless Steel (26-1)";"1,1,2-trichlorotrifluoroethane";"1,1,2-trichloro-1,2,2-trifluoroethane";"76-13-1";"C2Cl3F3";"chlorofluorocarbons";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Titanium, Unalloyed";"1,1,2-trichlorotrifluoroethane";"1,1,2-trichloro-1,2,2-trifluoroethane";"76-13-1";"C2Cl3F3";"chlorofluorocarbons";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
