sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sulfur chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium note";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"sulfur chloride";"";"";"100";"25 – 225";"<2";"";"200,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"sulfur chloride";"";"";"100";"68 – 277";"<2";"";"200,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-25-4Mo (904L)";"sulfur chloride";"";"";"100";"68";"<2";"dry from 20-136°C (68-277F)/wet at 20°C (68°F) is 20-50 mpy";"200,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-25-6Mo (254SMO/ 6XN)";"sulfur chloride";"dry";"";"100";"68 – 277";"<2";"";"200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"sulfur chloride";"";"";"100";"25 – 225";"<2";"";"200,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"sulfur chloride";"dry";"";"100";"68 – 277";"<2";"";"200,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"sulfur chloride";"";"";"100";"425 – 475";"<2";"";"200,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Alloy 30-44-5-3W (G-30)";"sulfur chloride";"";"";"100";"25 – 225";"<2";"";"200,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Alloy 30-44-5-3W (G-30)";"sulfur chloride";"dry";"";"100";"68 – 277";"<2";"";"200,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Alloy 30-44-5-3W (G-30)";"sulfur chloride";"";"";"100";"425 – 475";"<2";"";"200,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Aluminum Alloy (3003/ 5154)";"sulfur chloride";"";"";"85 – 95";"25 – 225";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Aluminum Alloy (3003/ 5154)";"sulfur chloride";"";"";"100";"25 – 325";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"sulfur chloride";"";"pitting";"85 – 95";"25 – 275";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"sulfur chloride";"";"";"100";"25 – 275";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"sulfur chloride";"";"";"100";"275 – 325";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"sulfur chloride";"";"pitting";"85 – 95";"25 – 275";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"sulfur chloride";"";"";"100";"25 – 275";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"sulfur chloride";"";"";"100";"275 – 325";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Cast Iron, Gray/ Ductile";"sulfur chloride";"";"";"85 – 95";"25 – 325";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Cast Iron, Gray/ Ductile";"sulfur chloride";"";"";"100";"25 – 275";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Cast Iron, Gray/ Ductile";"sulfur chloride";"";"";"100";"275 – 325";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Copper/ Bronze/ Low Brass";"sulfur chloride";"";"";"85 – 95";"25 – 75";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Copper/ Bronze/ Low Brass";"sulfur chloride";"";"";"100";"25 – 75";"20 – 50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Copper-Nickel";"sulfur chloride";"";"";"85 – 95";"25 – 75";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Copper-Nickel";"sulfur chloride";"";"";"100";"25 – 75";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Cr Stainless Steel (12Cr)";"sulfur chloride";"";"";"85 – 95";"25 – 75";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Cr Stainless Steel (12Cr)";"sulfur chloride";"";"";"100";"25 – 75";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Cr Stainless Steel (17Cr)";"sulfur chloride";"";"";"85 – 95";"25 – 75";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Cr Stainless Steel (17Cr)";"sulfur chloride";"";"";"100";"25 – 75";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Duplex Stainless Steel (25-6-3)";"sulfur chloride";"dry";"";"100";"68 – 277";"<2";"";"200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Gold/ Platinum";"sulfur chloride";"";"";"100";"25 – 325";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Lead";"sulfur chloride";"";"";">85";"25 – 325";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"sulfur chloride";"";"";">85";"25 – 325";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"sulfur chloride";"";"";">85";"25 – 325";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"sulfur chloride";"";"";">85";"25 – 325";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"sulfur chloride";"";"";">85";"25 – 325";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"sulfur chloride";"";"";">85";"25 – 325";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Nickel (200)";"sulfur chloride";"";"";"85 – 95";"25 – 75";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Nickel (200)";"sulfur chloride";"";"";"100";"25 – 475";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Nickel Cast Iron (15-35Ni)";"sulfur chloride";"";"";"85 – 95";"25 – 75";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Nickel Cast Iron (15-35Ni)";"sulfur chloride";"";"";"85 – 95";"275 – 325";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Nickel Cast Iron (15-35Ni)";"sulfur chloride";"";"";"100";"25 – 325";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Nickel-Copper (400)";"sulfur chloride";"";"";"85 – 95";"25 – 75";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Nickel-Copper (400)";"sulfur chloride";"";"";"100";"25 – 75";"20 – 50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Ni-Cr-Fe Alloy (600/ 690)";"sulfur chloride";"";"";"100";"25 – 325";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Ni-Mo Alloy (Ni-30Mo; B-2)";"sulfur chloride";"";"";">85";"25 – 325";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Silicon Cast Iron (14Si)";"sulfur chloride";"";"";"100";"52 – 102";"<20";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Silicon Cast Iron (14Si)";"sulfur chloride";"";"";"100";"187 – 237";">50";"";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Silver";"sulfur chloride";"";"";"100";"25 – 75";"20 – 50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Steels, Carbon/ Low Alloy";"sulfur chloride";"";"";"85 – 95";"25 – 275";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
