sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Benzyl chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"benzyl chloride";"(chloromethyl)benzene";"100-44-7";"C7H7Cl";"halogenated aromatics";"3";"not recommended";"100";"115";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"2";"Concrete";"";"benzyl chloride";"(chloromethyl)benzene";"100-44-7";"C7H7Cl";"halogenated aromatics";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"Teflon; Hostaflon; Fluon";"benzyl chloride";"(chloromethyl)benzene";"100-44-7";"C7H7Cl";"halogenated aromatics";"1";"recommended";"100";"250 – 350";">12";"";"10";"";"";"";"";"";"";"";"";"";"";""
"4";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"benzyl chloride";"(chloromethyl)benzene";"100-44-7";"C7H7Cl";"halogenated aromatics";"1";"recommended";"100";"70 – 90";"";"cyclic immersion";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Fluororubber";"";"benzyl chloride";"(chloromethyl)benzene";"100-44-7";"C7H7Cl";"halogenated aromatics";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"benzyl chloride";"(chloromethyl)benzene";"100-44-7";"C7H7Cl";"halogenated aromatics";"1";"recommended";"100";"70 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Glass, Chemical";"";"benzyl chloride";"(chloromethyl)benzene";"100-44-7";"C7H7Cl";"halogenated aromatics";"1";"recommended";"100";"70 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Phenolic Resins, Asbestos-Reinforced";"";"benzyl chloride";"(chloromethyl)benzene";"100-44-7";"C7H7Cl";"halogenated aromatics";"3";"not recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"9";"Phenolic Resins, Non-asbestos";"Haveg 41-NA";"benzyl chloride";"(chloromethyl)benzene";"100-44-7";"C7H7Cl";"halogenated aromatics";"1";"recommended; slight weight/volume change";"100";"160";"";"98 days";"3";"";"";"";"";"";"";"";"";"";"";""
"10";"Polyesters, Glass Fiber-Reinforced";"";"benzyl chloride";"(chloromethyl)benzene";"100-44-7";"C7H7Cl";"halogenated aromatics";"3";"not recommended";"10";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"11";"Polyesters, Glass Fiber-Reinforced";"";"benzyl chloride";"(chloromethyl)benzene";"100-44-7";"C7H7Cl";"halogenated aromatics";"3";"not recommended";"100";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"12";"Polyethylene (PE)";"";"benzyl chloride";"(chloromethyl)benzene";"100-44-7";"C7H7Cl";"halogenated aromatics";"3";"not recommended";"100";"60 – 70";"";"plasticizer";"1, 8";"";"";"";"";"";"";"";"";"";"";""
