sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Citric acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Brass (>15Zn)";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"5 – 60";"25 – 75";">50";"39,135,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Cast Iron, Gray/ Ductile";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"5 – 15";"25 – 125";">50";"39,135,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Cast Iron, Gray/ Ductile";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"5 – 60";"25 – 75";">50";"39,135,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Copper/ Bronze/ Low Brass";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"5 – 55";"25 – 225";"20 – 50";"39,135,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Copper-Nickel";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"5 – 60";"25 – 225";"<2";"39,135,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Cr Stainless Steel (12Cr)";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"5 – 15";"25 – 125";"<20";"39,135,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Cr Stainless Steel (12Cr)";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"5 – 15";"125 – 175";"20 – 50";"39,135,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Cr Stainless Steel (12Cr)";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"5 – 15";"175 – 225";">50";"39,135,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Cr Stainless Steel (12Cr)";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"15 – 25";"75 – 125";">50";"39,135,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Cr Stainless Steel (12Cr)";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"15 – 55";"25 – 75";"20 – 50";"39,135,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Cr Stainless Steel (12Cr)";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"35 – 55";"75 – 125";">50";"39,135,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Cr Stainless Steel (17Cr)";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"5 – 25";"175 – 225";"20 – 50";"39,135,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
