sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Succinic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"succinic acid";"110-15-6";"C4H6O4";"organic (weak) acids";"";"5 – 50";"25 – 225";"<20";"100,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"succinic acid";"110-15-6";"C4H6O4";"organic (weak) acids";"";"5 – 50";"25 – 225";"<20";"100,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"succinic acid";"110-15-6";"C4H6O4";"organic (weak) acids";"";"5 – 50";"25 – 225";"<20";"100,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"succinic acid";"110-15-6";"C4H6O4";"organic (weak) acids";"";"5 – 15";"25 – 175";"<20";"100,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"succinic acid";"110-15-6";"C4H6O4";"organic (weak) acids";"";"5 – 15";"175 – 225";"20 – 50";"100,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Aluminum Alloy (3003/ 5154)";"succinic acid";"110-15-6";"C4H6O4";"organic (weak) acids";"";"5 – 50";"25 – 125";"<20";"100,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Aluminum Alloy (3003/ 5154)";"succinic acid";"110-15-6";"C4H6O4";"organic (weak) acids";"";"15 – 50";"175 – 225";">50";"100,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"succinic acid";"110-15-6";"C4H6O4";"organic (weak) acids";"";"5 – 50";"25 – 225";"<20";"100,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"succinic acid";"110-15-6";"C4H6O4";"organic (weak) acids";"";"5 – 50";"25 – 225";"<20";"100,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Brass (>15Zn)";"succinic acid";"110-15-6";"C4H6O4";"organic (weak) acids";"severe corrosion with oxygen ingress";"5 – 50";"25 – 225";"<20";"100,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Cast Iron, Gray/ Ductile";"succinic acid";"110-15-6";"C4H6O4";"organic (weak) acids";"";"5 – 50";"25 – 225";"<20";"100,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Copper/ Bronze/ Low Brass";"succinic acid";"110-15-6";"C4H6O4";"organic (weak) acids";"severe corrosion with oxygen ingress";"5 – 50";"25 – 225";"<20";"100,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Copper/ Bronze/ Low Brass";"succinic acid";"110-15-6";"C4H6O4";"organic (weak) acids";"severe corrosion with oxygen ingress";"100";"374 – 425";"<20";"100,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Copper-Nickel";"succinic acid";"110-15-6";"C4H6O4";"organic (weak) acids";"severe corrosion with oxygen ingress";"5 – 50";"25 – 225";"<20";"100,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
