sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Dimethyl formamide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"dimethyl formamide";"amides";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acetal Resins (Polyoxymethylene)";"";"dimethyl formamide";"amides";"3";"not recommended";"100";"150 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Acetal Resins (Polyoxymethylene)";"";"dimethyl formamide";"amides";"3";"not recommended; weight loss, ";"100";"175 – 200";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"dimethyl formamide";"amides";"3";"not recommended; may dissolve ";"100";"70 – 135";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"dimethyl formamide";"amides";"3";"not recommended; may dissolve ";"100";"135 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"dimethyl formamide";"amides";"3";"not recommended";"100";"75";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"dimethyl formamide";"amides";"3";"not recommended";"100";"75";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Chlorosulfonated Polyethylene";"";"dimethyl formamide";"amides";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Epoxy Resin, Glass Fiber- Reinforced";"";"dimethyl formamide";"amides";"3";"not recommended";"100";"70 – 80";"";"";"1, 24";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"Teflon; Hostaflon; Fluon";"dimethyl formamide";"amides";"1";"recommended";"20";"175 – 250";"";"";"1, 10, 22";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"";"dimethyl formamide";"amides";"1";"recommended; steady state reached in one week exposure";"100";"70 – 175";"<1";"";"1, 10, 22";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"Teflon; Hostaflon; Fluon";"dimethyl formamide";"amides";"1";"recommended";"100";"175 – 250";"";"";"1, 10, 22";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"dimethyl formamide";"amides";"1";"recommended";"100";"60 – 70";"";"";"1, 22";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Fluororubber";"";"dimethyl formamide";"amides";"3";"not recommended; softened";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"dimethyl formamide";"amides";"1";"recommended";"100";"70 – 200";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Nylon";"";"dimethyl formamide";"amides";"1";"recommended";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Perfluoroalkoxy Resins";"";"dimethyl formamide";"amides";"1";"recommended";"100";"70 – 280";"";"";"1, 22";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Perfluoroalkoxy Resins";"";"dimethyl formamide";"amides";"1";"recommended; weight gain; strength loss; steady state reached in one week exposure";"100";"280 – 309";"<1";"boiling point 154°C (309°F)";"1, 22";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Polychloroprene";"";"dimethyl formamide";"amides";"1";"recommended; swollen";"100";"70 – 150";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Polyesters, Glass Fiber-Reinforced";"";"dimethyl formamide";"amides";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Polyethylene (PE)";"";"dimethyl formamide";"amides";"1";"recommended";"100";"70 – 125";"<1";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Polymethyl Methacrylate (PMMA)";"";"dimethyl formamide";"amides";"3";"not recommended; may dissolve";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Polypropylene (PP)";"";"dimethyl formamide";"amides";"1";"recommended";"100";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Polypropylene (PP)";"";"dimethyl formamide";"amides";"2";"questionable; weight gain ";"100";"125 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Polyvinyl Chloride (PVC)";"";"dimethyl formamide";"amides";"3";"not recommended; disintegrated ";"100";"70 – 135";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Polyvinyl Chloride (PVC)";"";"dimethyl formamide";"amides";"3";"not recommended; disintegrated ";"100";"135 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Rubber, Butyl (BR)";"";"dimethyl formamide";"amides";"1";"recommended";"100";"70 – 150";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Rubber, Natural (NR)";"";"dimethyl formamide";"amides";"3";"not recommended; softened, swollen";"100";"70 – 80";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Styrene Acrylonitrile Copolymer (SAN)";"";"dimethyl formamide";"amides";"3";"not recommended";"100";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
