sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Antimony pentafluoride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"antimony pentafluoride";"antimony fluoride";"7783-70-2";"F5Sb";"100";"45 – 325";"<20";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"antimony pentafluoride";"antimony fluoride";"7783-70-2";"F5Sb";"75 – 85";"25 – 325";"<20";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Cast Iron, Gray/ Ductile";"antimony pentafluoride";"antimony fluoride";"7783-70-2";"F5Sb";"100";"175 – 225";">50";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Copper/ Bronze/ Low Brass";"antimony pentafluoride";"antimony fluoride";"7783-70-2";"F5Sb";"100";"45 – 225";"<20";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Copper-Nickel";"antimony pentafluoride";"antimony fluoride";"7783-70-2";"F5Sb";"100";"45 – 225";"<20";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Nickel (200)";"antimony pentafluoride";"antimony fluoride";"7783-70-2";"F5Sb";"100";"45 – 225";"<20";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Nickel-Copper (400)";"antimony pentafluoride";"antimony fluoride";"7783-70-2";"F5Sb";"100";"45 – 225";"<20";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Steels, Carbon/ Low Alloy";"antimony pentafluoride";"antimony fluoride";"7783-70-2";"F5Sb";"85";"25 – 75";">50";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Steels, Carbon/ Low Alloy";"antimony pentafluoride";"antimony fluoride";"7783-70-2";"F5Sb";"100";"45 – 75";"<20";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Steels, Carbon/ Low Alloy";"antimony pentafluoride";"antimony fluoride";"7783-70-2";"F5Sb";"100";"175 – 225";">50";"215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
