sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Hydrogen";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Fluororubber";"";"hydrogen";"1333-74-0";"H2";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Glass, Chemical";"";"hydrogen";"1333-74-0";"H2";"1";"recommended; 1 mm is impermeable";"100";"70 – 500";"";"500°C (932°F)";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Nylon";"";"hydrogen";"1333-74-0";"H2";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Polychloroprene";"";"hydrogen";"1333-74-0";"H2";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Polyesters, Glass Fiber-Reinforced";"";"hydrogen";"1333-74-0";"H2";"1";"recommended";"100";"70 – 250";"";"also + ozone";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Polymethyl Methacrylate (PMMA)";"";"hydrogen";"1333-74-0";"H2";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"hydrogen";"1333-74-0";"H2";"1";"recommended";"100";"0 – 200";"<1";"";"11";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Polypropylene (PP)";"";"hydrogen";"1333-74-0";"H2";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Polyvinyl Chloride (PVC)";"";"hydrogen";"1333-74-0";"H2";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Polyvinylidene Fluoride (PVDF)";"Kynar";"hydrogen";"1333-74-0";"H2";"1";"recommended";"100";"70 – 285";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Rubber, Butyl (BR)";"";"hydrogen";"1333-74-0";"H2";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Rubber, Natural (NR)";"";"hydrogen";"1333-74-0";"H2";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Rubber, Natural (NR)";"";"hydrogen";"1333-74-0";"H2";"3";"not recommended";"100";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Vinyl Ester Resins";"";"hydrogen";"1333-74-0";"H2";"1";"recommended";"100";"70 – 250";"";"";"7";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Wood";"";"hydrogen";"1333-74-0";"H2";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
