sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Antimony pentachloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"antimony pentachloride";"antimony chloride";"7647-18-9";"Cl5Sb";"100";"175 – 225";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 30-44-5-3W (G-30)";"antimony pentachloride";"antimony chloride";"7647-18-9";"Cl5Sb";"100";"175 – 225";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Aluminum Alloy (3003/ 5154)";"antimony pentachloride";"antimony chloride";"7647-18-9";"Cl5Sb";"100";"25 – 125";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"antimony pentachloride";"antimony chloride";"7647-18-9";"Cl5Sb";"100";"175 – 225";">50";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"antimony pentachloride";"antimony chloride";"7647-18-9";"Cl5Sb";"1 – 50";"77";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"antimony pentachloride";"antimony chloride";"7647-18-9";"Cl5Sb";"100";"175 – 225";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Cast Iron, Gray/ Ductile";"antimony pentachloride";"antimony chloride";"7647-18-9";"Cl5Sb";"100";"25 – 75";"20 – 50";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cast Iron, Gray/ Ductile";"antimony pentachloride";"antimony chloride";"7647-18-9";"Cl5Sb";"100";"75 – 225";">50";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Copper/ Bronze/ Low Brass";"antimony pentachloride";"antimony chloride";"7647-18-9";"Cl5Sb";"100";"25 – 225";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Gold/ Platinum";"antimony pentachloride";"antimony chloride";"7647-18-9";"Cl5Sb";"100";"25 – 225";"<2";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Lead";"antimony pentachloride";"antimony chloride";"7647-18-9";"Cl5Sb";">85";"25 – 225";"<20";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"antimony pentachloride";"antimony chloride";"7647-18-9";"Cl5Sb";"85 – 95";"125 – 175";">50";"32,210,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
