sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Hypochlorous acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"hypochlorous acid";"";"7790-92-3";"ClHO";"inorganic acids";"1";"recommended";"10";"60 – 165";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"hypochlorous acid";"";"7790-92-3";"ClHO";"inorganic acids";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Bisphenol A Fumarate Unsaturated Polyester";"Bisphenol A resin";"hypochlorous acid";"";"7790-92-3";"ClHO";"inorganic acids";"1";"recommended";"10";"50 – 100";"";"no water";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Bisphenol A Fumarate Unsaturated Polyester";"";"hypochlorous acid";"wet, chlorine gas";"7790-92-3";"ClHO";"inorganic acids";"2";"questionable";"10 – 20";"115 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Bisphenol A Fumarate Unsaturated Polyester";"";"hypochlorous acid";"wet";"7790-92-3";"ClHO";"inorganic acids";"2";"questionable";"20";"50 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"hypochlorous acid";"";"7790-92-3";"ClHO";"inorganic acids";"1";"recommended";"<10";"110";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"hypochlorous acid";"";"7790-92-3";"ClHO";"inorganic acids";"1";"recommended";"<10";"115";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"8";"Chlorinated Polyvinyl Chloride (CPVC)";"";"hypochlorous acid";"";"7790-92-3";"ClHO";"inorganic acids";"1";"recommended";"100";"70 – 150";"";"";"1, 2";"";"";"";"";"";"";"";"";"";"";""
"9";"Epoxy Resin, Glass Fiber- Reinforced";"";"hypochlorous acid";"";"7790-92-3";"ClHO";"inorganic acids";"3";"not recommended";"10";"70 – 150";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"10";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"Teflon; Hostaflon; Fluon";"hypochlorous acid";"";"7790-92-3";"ClHO";"inorganic acids";"1";"recommended";"20";"200 – 250";">12";"";"10";"";"";"";"";"";"";"";"";"";"";""
"11";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"Teflon FEP";"hypochlorous acid";"";"7790-92-3";"ClHO";"inorganic acids";"1";"recommended";"20";"200 – 275";">12";"";"10";"";"";"";"";"";"";"";"";"";"";""
"12";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"hypochlorous acid";"";"7790-92-3";"ClHO";"inorganic acids";"1";"recommended; barrier linings recommended to 148°C (300°F)";"20";"275 – 350";"";"";"10";"";"";"";"";"";"";"";"";"";"";""
"13";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"hypochlorous acid";"";"7790-92-3";"ClHO";"inorganic acids";"3";"not recommended";"100";"70 – 200";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"14";"Polyesters, Glass Fiber-Reinforced";"";"hypochlorous acid";"wet, chlorine gas";"7790-92-3";"ClHO";"inorganic acids";"2";"questionable";"10 – 20";"115 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"15";"Polyesters, Glass Fiber-Reinforced";"";"hypochlorous acid";"wet";"7790-92-3";"ClHO";"inorganic acids";"2";"questionable";"20";"50 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"16";"Polyethylene (PE)";"";"hypochlorous acid";"";"7790-92-3";"ClHO";"inorganic acids";"1";"recommended";"100";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";""
"17";"Polymethyl Methacrylate (PMMA)";"";"hypochlorous acid";"";"7790-92-3";"ClHO";"inorganic acids";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"18";"Polymethyl Methacrylate (PMMA)";"";"hypochlorous acid";"";"7790-92-3";"ClHO";"inorganic acids";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"19";"Polyvinyl Chloride (PVC)";"";"hypochlorous acid";"";"7790-92-3";"ClHO";"inorganic acids";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"20";"Polyvinylidene Fluoride (PVDF)";"Kynar";"hypochlorous acid";"";"7790-92-3";"ClHO";"inorganic acids";"1";"recommended";"100";"60 – 75";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";""
"21";"Polyvinylidene Fluoride (PVDF)";"";"hypochlorous acid";"";"7790-92-3";"ClHO";"inorganic acids";"2";"questionable";"100";"75 – 125";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";""
"22";"Polyvinylidene Fluoride (PVDF)";"";"hypochlorous acid";"";"7790-92-3";"ClHO";"inorganic acids";"3";"not recommended";"100";"125 – 285";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";""
"23";"Vinyl Ester Resins";"";"hypochlorous acid";"";"7790-92-3";"ClHO";"inorganic acids";"1";"recommended";"10";"150";"";"up to stable temperature of acid, special cure system required";"7";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
