sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ammonium nitrate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"ammonium nitrate";"6484-52-2";"H4N2O3";"salts";"";"5 – 55";"25 – 225";"<2";"13,216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"ammonium nitrate";"6484-52-2";"H4N2O3";"salts";"";"55 – 66";"175 – 225";"<2";"13,216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"ammonium nitrate";"6484-52-2";"H4N2O3";"salts";"";"5 – 55";"25 – 225";"<2";"13,216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"ammonium nitrate";"6484-52-2";"H4N2O3";"salts";"";"55 – 66";"175 – 225";"<2";"13,216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 30-44-5-3W (G-30)";"ammonium nitrate";"6484-52-2";"H4N2O3";"salts";"";"5 – 55";"25 – 225";"<2";"13,216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 30-44-5-3W (G-30)";"ammonium nitrate";"6484-52-2";"H4N2O3";"salts";"";"55 – 66";"175 – 225";"<2";"13,216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Aluminum Alloy (3003/ 5154)";"ammonium nitrate";"6484-52-2";"H4N2O3";"salts";"";"<66";"0 – 175";"<2";"13,216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Aluminum Alloy (3003/ 5154)";"ammonium nitrate";"6484-52-2";"H4N2O3";"salts";"";"5 – 66";"175 – 275";"<20";"13,216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"ammonium nitrate";"6484-52-2";"H4N2O3";"salts";"intergranular attack";"5 – 55";"25 – 225";"<2";"13,216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"ammonium nitrate";"6484-52-2";"H4N2O3";"salts";"";"55 – 66";"175 – 225";"<2";"13,216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
