sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Dextrose";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Copper-Nickel";"dextrose";"carbohydrates & sugars";"5 – 55";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Copper-Nickel";"dextrose";"carbohydrates & sugars";"55 – 65";"125 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Copper-Nickel";"dextrose";"carbohydrates & sugars";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Cr Stainless Steel (12Cr)";"dextrose";"carbohydrates & sugars";"5 – 55";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Cr Stainless Steel (12Cr)";"dextrose";"carbohydrates & sugars";"55 – 65";"125 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Cr Stainless Steel (12Cr)";"dextrose";"carbohydrates & sugars";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Cr Stainless Steel (17Cr)";"dextrose";"carbohydrates & sugars";"5 – 55";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Cr Stainless Steel (17Cr)";"dextrose";"carbohydrates & sugars";"55 – 65";"125 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Cr Stainless Steel (17Cr)";"dextrose";"carbohydrates & sugars";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Duplex Stainless Steel (25-6-3)";"dextrose";"carbohydrates & sugars";"60";"0 – 212";"<2";"172";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Gold/ Platinum";"dextrose";"carbohydrates & sugars";"5 – 55";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Gold/ Platinum";"dextrose";"carbohydrates & sugars";"55 – 65";"125 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Gold/ Platinum";"dextrose";"carbohydrates & sugars";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Lead";"dextrose";"carbohydrates & sugars";"5 – 55";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Lead";"dextrose";"carbohydrates & sugars";"55 – 65";"125 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Lead";"dextrose";"carbohydrates & sugars";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"dextrose";"carbohydrates & sugars";"5 – 55";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"dextrose";"carbohydrates & sugars";"55 – 65";"125 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"dextrose";"carbohydrates & sugars";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"dextrose";"carbohydrates & sugars";"5 – 55";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"dextrose";"carbohydrates & sugars";"55 – 65";"125 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"dextrose";"carbohydrates & sugars";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
