sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sodium sulfite";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"sodium sulfite";"7757-83-7";"Na2O3S";"salts";"";"1 – 40";"68 – 230";"<2";"96,151,198,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"sodium sulfite";"7757-83-7";"Na2O3S";"salts";"";"5 – 25";"25 – 225";"<2";"96,151,198,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-25-6Mo (254SMO/ 6XN)";"sodium sulfite";"7757-83-7";"Na2O3S";"salts";"";"1 – 40";"68 – 230";"<2";"96,151,198,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"sodium sulfite";"7757-83-7";"Na2O3S";"salts";"";"1 – 40";"68 – 230";"<2";"96,151,198,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"sodium sulfite";"7757-83-7";"Na2O3S";"salts";"";"5 – 25";"25 – 225";"<2";"96,151,198,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 30-44-5-3W (G-30)";"sodium sulfite";"7757-83-7";"Na2O3S";"salts";"";"1 – 40";"68 – 230";"<2";"96,151,198,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 30-44-5-3W (G-30)";"sodium sulfite";"7757-83-7";"Na2O3S";"salts";"";"5 – 25";"25 – 225";"<2";"96,151,198,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Aluminum Alloy (3003/ 5154)";"sodium sulfite";"7757-83-7";"Na2O3S";"salts";"";"5 – 15";"25 – 225";"<2";"96,151,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Aluminum Alloy (3003/ 5154)";"sodium sulfite";"7757-83-7";"Na2O3S";"salts";"";"15 – 25";"25 – 175";"<2";"96,151,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"sodium sulfite";"7757-83-7";"Na2O3S";"salts";"";"5 – 20";"175 – 225";"<20";"96,151,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"sodium sulfite";"7757-83-7";"Na2O3S";"salts";"";"5 – 25";"25 – 175";"<20";"96,151,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"sodium sulfite";"7757-83-7";"Na2O3S";"salts";"";"25";"175 – 225";"20 – 50";"96,151,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"sodium sulfite";"7757-83-7";"Na2O3S";"salts";"";"5 – 25";"25 – 225";"<2";"96,151,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Brass (>15Zn)";"sodium sulfite";"7757-83-7";"Na2O3S";"salts";"";"5 – 15";"25 – 225";"<20";"96,151,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
