sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Carbon disulfide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"carbon disulfide";"carbon bisulfide";"75-15-0";"CS2";"solvents";"";"100";"25 – 225";"<2";"167,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-6Mo (254SMO/ 6XN)";"carbon disulfide";"carbon bisulfide";"75-15-0";"CS2";"solvents";"";"100";"68 – 115";"<2";"167";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"carbon disulfide";"carbon bisulfide";"75-15-0";"CS2";"solvents";"";"100";"25 – 225";"<2";"167,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 30-44-5-3W (G-30)";"carbon disulfide";"carbon bisulfide";"75-15-0";"CS2";"solvents";"";"100";"25 – 225";"<2";"167,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"carbon disulfide";"carbon bisulfide";"75-15-0";"CS2";"solvents";"pitting";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Aluminum Alloy (3003/ 5154)";"carbon disulfide";"carbon bisulfide";"75-15-0";"CS2";"solvents";"";"100";"75 – 125";"20 – 50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"carbon disulfide";"carbon bisulfide";"75-15-0";"CS2";"solvents";"";"100";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"carbon disulfide";"carbon bisulfide";"75-15-0";"CS2";"solvents";"";"100";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Brass (>15Zn)";"carbon disulfide";"carbon bisulfide";"75-15-0";"CS2";"solvents";"";"100";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Cast Iron, Gray/ Ductile";"carbon disulfide";"carbon bisulfide";"75-15-0";"CS2";"solvents";"";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Copper/ Bronze/ Low Brass";"carbon disulfide";"carbon bisulfide";"75-15-0";"CS2";"solvents";"";"100";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
