sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Hydriodic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Concrete";"hydriodic acid";"inorganic acids";"3";"not recommended";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Fluororubber";"hydriodic acid";"inorganic acids";"3";"not recommended";"100";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Furfuryl Alcohol Resin, Asbestos-Reinforced";"hydriodic acid";"inorganic acids";"1";"recommended";"20";"70 – 80";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Phenolic Resins, Asbestos-Reinforced";"hydriodic acid";"inorganic acids";"1";"recommended";"20";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Phenolic Resins, Asbestos-Reinforced";"hydriodic acid";"inorganic acids";"1";"recommended; Haveg 61 not recommended >27°C (81°F) at 60%";"20";"70 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Phenolic Resins, Asbestos-Reinforced";"hydriodic acid";"inorganic acids";"1";"recommended";"60";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Phenolic Resins, Asbestos-Reinforced";"hydriodic acid";"inorganic acids";"2";"questionable";"60";"150 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Polypropylene (PP)";"hydriodic acid";"inorganic acids";"3";"not recommended";"100";"60 – 70";"plus 12% iodine";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Polyvinylidene Fluoride (PVDF)";"hydriodic acid";"inorganic acids";"1";"recommended";"100";"70 – 275";"+ 12% Iodine";"1, 23";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
