sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Nicotine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"nicotine";"heterocyclic organics";"1";"recommended";"10";"60 – 70";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"nicotine";"heterocyclic organics";"1";"recommended";"10";"60 – 70";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"nicotine";"heterocyclic organics";"2";"questionable";"100";"70 – 150";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Chlorosulfonated Polyethylene";"nicotine";"heterocyclic organics";"1";"recommended";"10";"60 – 70";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Fluororubber";"nicotine";"heterocyclic organics";"1";"recommended";"10";"60 – 70";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Polychloroprene";"nicotine";"heterocyclic organics";"1";"recommended";"10";"60 – 70";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Polyethylene (PE)";"nicotine";"heterocyclic organics";"1";"recommended; may stress crack";"10";"70 – 150";"1, 21";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Polyvinyl Chloride (PVC)";"nicotine";"heterocyclic organics";"1";"recommended";"100";"70 – 150";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Polyvinylidene Fluoride (PVDF)";"nicotine";"heterocyclic organics";"1";"recommended";"100";"60 – 70";"1, 23";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Polyvinylidene Fluoride (PVDF)";"nicotine";"heterocyclic organics";"2";"questionable";"100";"70 – 150";"1, 23";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Rubber, Butyl (BR)";"nicotine";"heterocyclic organics";"1";"recommended";"10";"60 – 70";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Rubber, Natural (NR)";"nicotine";"heterocyclic organics";"2";"questionable";"10";"60 – 70";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
