sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Hydroiodic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"100";"25 – 75";"<2";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"5 – 15";"25 – 75";"<2";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"25 – 35";"275 – 325";">50";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"100";"25 – 125";"<20";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 30-44-5-3W (G-30)";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"5 – 15";"25 – 75";"<2";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 30-44-5-3W (G-30)";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"25 – 35";"275 – 325";">50";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 30-44-5-3W (G-30)";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"100";"25 – 125";"<20";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Aluminum Alloy (3003/ 5154)";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"5 – 45";"25 – 75";">50";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Aluminum Alloy (3003/ 5154)";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"100";"25 – 75";"<2";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"hydroiodic acid";"hydrogen iodide";"";"10034-85-2";"HI";"inorganic acids";"";"5 – 15";"25 – 75";"<20";"65,219";"";"";"";"";"";"";"";"";"";"";"";"";""
