sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Nitric acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"151";"Polyvinyl Chloride (PVC)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"3";"not recommended; weight gain ";"10";"125 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"152";"Polyvinyl Chloride (PVC)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"3";"not recommended; discolored; softened";"10 – 40";"125 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"153";"Polyvinyl Chloride (PVC)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"1";"recommended";"20 – 40";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"154";"Polyvinyl Chloride (PVC)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"3";"not recommended";"20 – 40";"80 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"155";"Polyvinyl Chloride (PVC)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"1";"recommended";"60";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"156";"Polyvinyl Chloride (PVC)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"3";"not recommended";"60 – 70";"80 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"157";"Polyvinyl Chloride (PVC)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"2";"questionable";"70";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"158";"Polyvinyl Chloride (PVC)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"3";"not recommended";"100";"70 – 135";"";"no water";"1";"";"";"";"";"";"";"";"";"";"";""
"159";"Polyvinyl Chloride (PVC)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"3";"not recommended; weight gain ";"100";"135 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"160";"Polyvinylidene Chloride (PVDC)";"Saran brand resin";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"1";"recommended";"10";"150";"";"";"6";"";"";"";"";"";"";"";"";"";"";""
"161";"Polyvinylidene Chloride (PVDC)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"1";"recommended";"30";"150";"";"";"6";"";"";"";"";"";"";"";"";"";"";""
"162";"Polyvinylidene Chloride (PVDC)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"1";"recommended";"50";"125";"";"";"6";"";"";"";"";"";"";"";"";"";"";""
"163";"Polyvinylidene Chloride (PVDC)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"3";"not recommended";"70";"50";"";"";"6";"";"";"";"";"";"";"";"";"";"";""
"164";"Polyvinylidene Fluoride (PVDF)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"1";"recommended";"10";"70 – 175";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";""
"165";"Polyvinylidene Fluoride (PVDF)";"Kynar";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"1";"recommended";"50";"70 – 125";">12";"";"1, 17";"";"";"";"";"";"";"";"";"";"";""
"166";"Polyvinylidene Fluoride (PVDF)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"2";"questionable";"50";"125 – 200";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";""
"167";"Polyvinylidene Fluoride (PVDF)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"1";"recommended";"100";"70 – 150";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";""
"168";"Rubber, Butyl (BR)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"1";"recommended";"10";"70 – 85";"[>12]";"";"1";"";"";"";"";"";"";"";"";"";"";""
"169";"Rubber, Butyl (BR)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"2";"questionable";"10";"125 – 212";"[";"";"1";"";"";"";"";"";"";"";"";"";"";""
"170";"Rubber, Butyl (BR)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"1";"recommended";"10 – 30";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"171";"Rubber, Butyl (BR)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"2";"questionable";"40";"125 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"172";"Rubber, Butyl (BR)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"3";"not recommended";"40";"175 – 200";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"173";"Rubber, Butyl (BR)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"2";"questionable";"40 – 50";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"174";"Rubber, Butyl (BR)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"3";"not recommended";"50";"125 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"175";"Rubber, Butyl (BR)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"3";"not recommended; weight gain ";"70";"70 – 135";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"176";"Rubber, Butyl (BR)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"3";"not recommended; disintegrated ";"70";"135 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"177";"Rubber, Butyl (BR)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"3";"not recommended";"98";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"178";"Rubber, Natural (NR)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"3";"not recommended; disintegrated ";"10 – 60";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"179";"Rubber, Natural (NR)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"3";"not recommended";"40";"125 – 200";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"180";"Rubber, Natural (NR)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"3";"not recommended";"40 – 50";"150 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"181";"Rubber, Natural (NR)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"3";"not recommended";"40 – 60";"125 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"182";"Rubber, Natural (NR)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"3";"not recommended; disintegrated ";"60";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"183";"Rubber, Natural (NR)";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"184";"Vinyl Ester Cements";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"1";"recommended";"50";"68";"<6";"carbon (black)";"5";"";"";"";"";"";"";"";"";"";"";""
"185";"Vinyl Ester Resins";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"1";"recommended";"5";"180";"";"";"7";"";"";"";"";"";"";"";"";"";"";""
"186";"Vinyl Ester Resins";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"1";"recommended";"20";"150";"";"";"7";"";"";"";"";"";"";"";"";"";"";""
"187";"Vinyl Ester Resins";"";"nitric acid";"";"7697-37-2";"HNO3";"inorganic acids";"1";"recommended";"40";"80";"";"";"7";"";"";"";"";"";"";"";"";"";"";""
