sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Copper acetate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"copper acetate";"cuprous acetate";"598-54-9";"C2H3CuO2";"salts";"<10";"0 – 225";"<2";"171,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-6Mo (254SMO/ 6XN)";"copper acetate";"cuprous acetate";"598-54-9";"C2H3CuO2";"salts";"<10";"0 – 212";"<2";"171";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"copper acetate";"cuprous acetate";"598-54-9";"C2H3CuO2";"salts";"<10";"0 – 225";"<2";"171,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 30-44-5-3W (G-30)";"copper acetate";"cuprous acetate";"598-54-9";"C2H3CuO2";"salts";"<10";"0 – 225";"<2";"171,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"copper acetate";"cuprous acetate";"598-54-9";"C2H3CuO2";"salts";"5 – 10";"25 – 125";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"copper acetate";"cuprous acetate";"598-54-9";"C2H3CuO2";"salts";"5 – 10";"0 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"copper acetate";"cuprous acetate";"598-54-9";"C2H3CuO2";"salts";"5 – 10";"0 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Brass (>15Zn)";"copper acetate";"cuprous acetate";"598-54-9";"C2H3CuO2";"salts";"5 – 10";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Cast Iron, Gray/ Ductile";"copper acetate";"cuprous acetate";"598-54-9";"C2H3CuO2";"salts";"5 – 10";"25 – 75";"20 – 50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper/ Bronze/ Low Brass";"copper acetate";"cuprous acetate";"598-54-9";"C2H3CuO2";"salts";"5 – 10";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Copper-Nickel";"copper acetate";"cuprous acetate";"598-54-9";"C2H3CuO2";"salts";"5 – 10";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cr Stainless Steel (12Cr)";"copper acetate";"cuprous acetate";"598-54-9";"C2H3CuO2";"salts";"5 – 10";"25 – 75";"20 – 50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Cr Stainless Steel (17Cr)";"copper acetate";"cuprous acetate";"598-54-9";"C2H3CuO2";"salts";"5 – 10";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Duplex Stainless Steel (25-6-3)";"copper acetate";"cuprous acetate";"598-54-9";"C2H3CuO2";"salts";"<10";"0 – 212";"<2";"171";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"copper acetate";"cuprous acetate";"598-54-9";"C2H3CuO2";"salts";"5 – 10";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"copper acetate";"cuprous acetate";"598-54-9";"C2H3CuO2";"salts";"5 – 10";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"copper acetate";"cuprous acetate";"598-54-9";"C2H3CuO2";"salts";"5 – 10";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"copper acetate";"cuprous acetate";"598-54-9";"C2H3CuO2";"salts";"5 – 10";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
