sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Carbon tetrachloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Cast Iron, Gray/ Ductile";"carbon tetrachloride";"tetrachloromethane";"56-23-5";"CCl4";"solvents";"";"";"100";"25 – 75";"20 – 50";"";"30,210,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Copper/ Bronze/ Low Brass";"carbon tetrachloride";"tetrachloromethane";"56-23-5";"CCl4";"solvents";"";"";"100";"25 – 175";"<2";"";"30,210,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Copper-Nickel";"carbon tetrachloride";"tetrachloromethane";"56-23-5";"CCl4";"solvents";"";"";"100";"25 – 175";"<2";"";"30,210,219";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Cr Stainless Steel (12Cr)";"carbon tetrachloride";"tetrachloromethane";"56-23-5";"CCl4";"solvents";"";"pitting";"100";"25 – 75";"<20";"";"30,210,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Cr Stainless Steel (17Cr)";"carbon tetrachloride";"tetrachloromethane";"56-23-5";"CCl4";"solvents";"";"pitting";"100";"25 – 75";"<2";"";"30,210,219";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Duplex Stainless Steel (25-6-3)";"carbon tetrachloride";"tetrachloromethane";"56-23-5";"CCl4";"solvents";"";"";"100";"68 – 169";"<2";"";"30,167,210";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Lead";"carbon tetrachloride";"tetrachloromethane";"56-23-5";"CCl4";"solvents";"";"";"100";"25 – 175";"<2";"";"30,210,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"carbon tetrachloride";"tetrachloromethane";"56-23-5";"CCl4";"solvents";"";"";"100";"25 – 225";"<2";"";"30,210,219";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"carbon tetrachloride";"tetrachloromethane";"56-23-5";"CCl4";"solvents";"";"";"100";"225 – 275";"<20";"";"30,210,219";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"carbon tetrachloride";"tetrachloromethane";"56-23-5";"CCl4";"solvents";"";"";"100";"25 – 225";"<2";"";"30,210,219";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"carbon tetrachloride";"tetrachloromethane";"56-23-5";"CCl4";"solvents";"";"";"100";"225 – 275";"<20";"";"30,210,219";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"carbon tetrachloride";"tetrachloromethane";"56-23-5";"CCl4";"solvents";"";"";"100";"25 – 225";"<2";"";"30,210,219";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"carbon tetrachloride";"tetrachloromethane";"56-23-5";"CCl4";"solvents";"";"";"100";"225 – 275";"<20";"";"30,210,219";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"carbon tetrachloride";"tetrachloromethane";"56-23-5";"CCl4";"solvents";"";"";"100";"25 – 225";"<2";"";"30,210,219";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"carbon tetrachloride";"tetrachloromethane";"56-23-5";"CCl4";"solvents";"";"";"100";"225 – 275";"<20";"";"30,210,219";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"carbon tetrachloride";"tetrachloromethane";"56-23-5";"CCl4";"solvents";"";"";"100";"25 – 225";"<2";"";"30,210,219";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"carbon tetrachloride";"tetrachloromethane";"56-23-5";"CCl4";"solvents";"";"";"100";"225 – 275";"<20";"";"30,210,219";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Nickel (200)";"carbon tetrachloride";"tetrachloromethane";"56-23-5";"CCl4";"solvents";"";"";"100";"25 – 225";"<2";"";"30,210,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Nickel Cast Iron (15-35Ni)";"carbon tetrachloride";"tetrachloromethane";"56-23-5";"CCl4";"solvents";"";"";"100";"25 – 225";"<20";"";"30,210,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Nickel-Copper (400)";"carbon tetrachloride";"tetrachloromethane";"56-23-5";"CCl4";"solvents";"";"";"100";"25 – 225";"<2";"";"30,210,219,220";"";"";"";"";"";"";"";"";"";"";"";""
