sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Mo Superalloy (Ni-16Cr-16Mo; C276)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"alkylphenol";"";"";"";"";"phenols";"";"100";"25 – 75";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"allyl alcohol";"2-propen-1-ol";"";"107-18-6";"C3H6O";"alcohols";"";">5";"25 – 225";"<2";"";"207,215,219";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"allylidene diacetate";"";"";"";"";"esters";"";"100";"25 – 225";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"aluminum acetate";"";"";"";"";"salts";"";"5 – 95";"25 – 125";"<2";"";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"aluminum acetate";"";"";"";"";"salts";"";"5 – 95";"125 – 225";"<20";"";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"aluminum chlorate";"";"";"";"";"salts";"";"15 – 25";"25 – 225";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"aluminum chloride";"aluminum trichloride";"";"7446-70-0";"AlCl3";"salts";"";"5 – 40";"25 – 225";"<2";"";"5,152,210,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"aluminum chloride";"aluminum trichloride";"";"7446-70-0";"AlCl3";"salts";"";"100";"25 – 175";"<2";"";"5,152,210,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"aluminum chloride";"aluminum trichloride";"";"7446-70-0";"AlCl3";"salts";"";"100";"175 – 225";">50";"";"5,152,210,219,220";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"aluminum diformate";"";"";"";"";"organic acid salts";"";"5 – 15";"25 – 225";"<20";"";"209,219";"";"";"";"";"";"";"";"";"";"";"";""
