sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Methyl bromide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Aluminum Alloy (3003/ 5154)";"methyl bromide";"bromomethane";"74-83-9";"CH3Br";"alkyl halides";"hazardous, IGNITES!";"";"100";"52 – 102";">50";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"methyl bromide";"bromomethane";"74-83-9";"CH3Br";"alkyl halides";"";"pits when wet";"100";"52 – 237";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"methyl bromide";"bromomethane";"74-83-9";"CH3Br";"alkyl halides";"";"";"100";"52 – 237";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Brass (>15Zn)";"methyl bromide";"bromomethane";"74-83-9";"CH3Br";"alkyl halides";"";"";"100";"52 – 237";"<20";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Cast Iron, Gray/ Ductile";"methyl bromide";"bromomethane";"74-83-9";"CH3Br";"alkyl halides";"";"";"100";"52 – 102";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Copper/ Bronze/ Low Brass";"methyl bromide";"bromomethane";"74-83-9";"CH3Br";"alkyl halides";"";"";"100";"52 – 237";"<20";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Lead";"methyl bromide";"bromomethane";"74-83-9";"CH3Br";"alkyl halides";"";"";"100";"52 – 237";"<20";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"methyl bromide";"bromomethane";"74-83-9";"CH3Br";"alkyl halides";"";"";"100";"52 – 237";"<20";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"methyl bromide";"bromomethane";"74-83-9";"CH3Br";"alkyl halides";"";"";"100";"52 – 237";"<20";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"methyl bromide";"bromomethane";"74-83-9";"CH3Br";"alkyl halides";"";"";"100";"52 – 237";"<20";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"methyl bromide";"bromomethane";"74-83-9";"CH3Br";"alkyl halides";"";"";"100";"52 – 237";"<20";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"methyl bromide";"bromomethane";"74-83-9";"CH3Br";"alkyl halides";"";"";"100";"52 – 237";"<20";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Nickel (200)";"methyl bromide";"bromomethane";"74-83-9";"CH3Br";"alkyl halides";"";"";"100";"52 – 237";"<20";"218";"";"";"";"";"";"";"";"";"";"";"";"";""
