sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ammonium sulfite";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"ammonium sulfite";"salts";"<50";"0 – 212";"<2";"";"162,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"ammonium sulfite";"salts";"5 – 50";"225 – 325";"<20";"";"162,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-25-6Mo (254SMO/ 6XN)";"ammonium sulfite";"salts";"<50";"0 – 212";"<2";"";"162";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"ammonium sulfite";"salts";"<50";"0 – 212";"<2";"";"162,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"ammonium sulfite";"salts";"5 – 50";"225 – 325";"<20";"";"162,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 30-44-5-3W (G-30)";"ammonium sulfite";"salts";"<50";"0 – 212";"<2";"";"162,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 30-44-5-3W (G-30)";"ammonium sulfite";"salts";"5 – 50";"225 – 325";"<20";"";"162,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Aluminum Alloy (3003/ 5154)";"ammonium sulfite";"salts";"5 – 45";"25 – 75";"20 – 50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"ammonium sulfite";"salts";"1 – 50";"0 – 212";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"ammonium sulfite";"salts";"5 – 50";"215 – 325";"<20";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Brass (>15Zn)";"ammonium sulfite";"salts";"5 – 50";"25 – 75";">50";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cast Iron, Gray/ Ductile";"ammonium sulfite";"salts";"5 – 50";"25 – 75";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Copper/ Bronze/ Low Brass";"ammonium sulfite";"salts";"5 – 50";"25 – 75";">50";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Copper-Nickel";"ammonium sulfite";"salts";"5 – 50";"25 – 75";">50";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Cr Stainless Steel (12Cr)";"ammonium sulfite";"salts";"5 – 50";"25 – 75";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Duplex Stainless Steel (25-6-3)";"ammonium sulfite";"salts";"<50";"0 – 212";"<2";"";"162";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Gold/ Platinum";"ammonium sulfite";"salts";"5 – 50";"25 – 225";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Lead";"ammonium sulfite";"salts";"5 – 45";"25 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"ammonium sulfite";"salts";"5 – 50";"175 – 225";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"ammonium sulfite";"salts";"5 – 50";"175 – 225";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"ammonium sulfite";"salts";"5 – 50";"175 – 225";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"ammonium sulfite";"salts";"5 – 50";"175 – 225";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"ammonium sulfite";"salts";"5 – 50";"175 – 225";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Nickel (200)";"ammonium sulfite";"salts";"5 – 50";"25 – 75";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Nickel Cast Iron (15-35Ni)";"ammonium sulfite";"salts";"5 – 50";"25 – 75";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Nickel-Copper (400)";"ammonium sulfite";"salts";"5 – 50";"25 – 75";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Ni-Cr-Fe Alloy (600/ 690)";"ammonium sulfite";"salts";"5 – 50";"25 – 75";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Ni-Mo Alloy (Ni-30Mo; B-2)";"ammonium sulfite";"salts";"5 – 35";"25 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Silicon Cast Iron (14Si)";"ammonium sulfite";"salts";"5 – 50";"52 – 237";"<20";"plus bisulfide";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Silver";"ammonium sulfite";"salts";"5 – 15";"25 – 75";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Silver";"ammonium sulfite";"salts";"25 – 35";"25 – 75";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Steels, Carbon/ Low Alloy";"ammonium sulfite";"salts";"5 – 50";"25 – 75";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Tantalum";"ammonium sulfite";"salts";"5 – 50";"25 – 225";"<2";"";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
