sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Methallylamine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"methallylamine";"amines";"";"";">5";"25 – 225";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"methallylamine";"amines";"";"";"35 – 45";"225 – 425";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-25-4Mo (904L)";"methallylamine";"amines";"";"";"75 – 85";"225 – 425";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"methallylamine";"amines";"";"";">5";"25 – 225";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"methallylamine";"amines";"";"";"35 – 45";"225 – 425";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"methallylamine";"amines";"";"";"75 – 85";"225 – 425";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 30-44-5-3W (G-30)";"methallylamine";"amines";"";"";">5";"25 – 225";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Alloy 30-44-5-3W (G-30)";"methallylamine";"amines";"";"";"35 – 45";"225 – 425";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Alloy 30-44-5-3W (G-30)";"methallylamine";"amines";"";"";"75 – 85";"225 – 425";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Aluminum Alloy (3003/ 5154)";"methallylamine";"amines";"";"";"100";"25 – 225";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"methallylamine";"amines";"";"";">5";"25 – 225";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"methallylamine";"amines";"";"";"35 – 45";"225 – 425";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"methallylamine";"amines";"";"";"75 – 85";"225 – 425";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"methallylamine";"amines";"";"";">5";"25 – 225";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"methallylamine";"amines";"";"";"35 – 45";"225 – 425";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"methallylamine";"amines";"";"";"75 – 85";"225 – 425";"<2";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Brass (>15Zn)";"methallylamine";"amines";"severe corrosion with oxygen ingress";"stress corrosion cracking";"100";"25 – 75";">50";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Cast Iron, Gray/ Ductile";"methallylamine";"amines";"";"";"5 – 25";"25 – 225";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Cast Iron, Gray/ Ductile";"methallylamine";"amines";"";"";"5 – 65";"175 – 225";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Cast Iron, Gray/ Ductile";"methallylamine";"amines";"";"";"35 – 45";"25 – 225";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Cast Iron, Gray/ Ductile";"methallylamine";"amines";"";"";"55 – 65";"25 – 225";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Cast Iron, Gray/ Ductile";"methallylamine";"amines";"";"";"75 – 85";"25 – 225";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Cast Iron, Gray/ Ductile";"methallylamine";"amines";"";"";"100";"25 – 225";"<20";"217,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Copper/ Bronze/ Low Brass";"methallylamine";"amines";"severe corrosion with oxygen ingress";"";"100";"25 – 75";">50";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Copper-Nickel";"methallylamine";"amines";"severe corrosion with oxygen ingress";"";"100";"25 – 75";">50";"217,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
