sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Potassium cyanide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Ni-Cr-Fe Alloy (600/ 690)";"potassium cyanide";"151-50-8";"CKN";"salts";"";"5 – 40";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Ni-Mo Alloy (Ni-30Mo; B-2)";"potassium cyanide";"151-50-8";"CKN";"salts";"";"5 – 35";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Silicon Cast Iron (14Si)";"potassium cyanide";"151-50-8";"CKN";"salts";"";"5 – 40";"52 – 237";"<2";"218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Silver";"potassium cyanide";"151-50-8";"CKN";"salts";"";"5 – 40";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Steels, Carbon/ Low Alloy";"potassium cyanide";"151-50-8";"CKN";"salts";"";"5 – 40";"25 – 225";"20 – 50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Superferritic Stainless Steel (26-1)";"potassium cyanide";"151-50-8";"CKN";"salts";"";"5 – 40";"25 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Tantalum";"potassium cyanide";"151-50-8";"CKN";"salts";"";"5 – 40";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Titanium, Unalloyed";"potassium cyanide";"151-50-8";"CKN";"salts";"";"<40";"0 – 239";"<2";"190";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
