sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Cyclohexanol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"cyclohexanol";"cyclohexyl alcohol";"108-93-0";"C6H12O";"alcohols";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"cyclohexanol";"cyclohexyl alcohol";"108-93-0";"C6H12O";"alcohols";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Chlorosulfonated Polyethylene";"";"cyclohexanol";"cyclohexyl alcohol";"108-93-0";"C6H12O";"alcohols";"2";"questionable";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"cyclohexanol";"cyclohexyl alcohol";"108-93-0";"C6H12O";"alcohols";"1";"recommended";"100";"70 – 150";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Fluororubber";"";"cyclohexanol";"cyclohexyl alcohol";"108-93-0";"C6H12O";"alcohols";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Nylon";"";"cyclohexanol";"cyclohexyl alcohol";"108-93-0";"C6H12O";"alcohols";"2";"questionable";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Polychloroprene";"";"cyclohexanol";"cyclohexyl alcohol";"108-93-0";"C6H12O";"alcohols";"2";"questionable";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Polyethylene (PE)";"";"cyclohexanol";"cyclohexyl alcohol";"108-93-0";"C6H12O";"alcohols";"2";"questionable; may stress crack; plasticizer";"100";"60 – 70";"";"";"1, 8";"";"";"";"";"";"";"";"";"";"";""
"9";"Polyethylene (PE)";"";"cyclohexanol";"cyclohexyl alcohol";"108-93-0";"C6H12O";"alcohols";"3";"not recommended";"100";"70 – 150";"";"";"1, 8";"";"";"";"";"";"";"";"";"";"";""
"10";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"cyclohexanol";"cyclohexyl alcohol";"108-93-0";"C6H12O";"alcohols";"1";"recommended";"100";"0 – 200";"<1";"";"11";"";"";"";"";"";"";"";"";"";"";""
"11";"Polyphenylene Sulfide, Glass Fiber-Reinforced";"Ryton PPS R-4";"cyclohexanol";"cyclohexyl alcohol";"108-93-0";"C6H12O";"alcohols";"1";"recommended";"100";"200";"<12";"";"18";"";"";"";"";"";"";"";"";"";"";""
"12";"Polypropylene (PP)";"";"cyclohexanol";"cyclohexyl alcohol";"108-93-0";"C6H12O";"alcohols";"1";"recommended";"100";"60 – 70";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";""
"13";"Polypropylene (PP)";"";"cyclohexanol";"cyclohexyl alcohol";"108-93-0";"C6H12O";"alcohols";"2";"questionable";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"14";"Polyvinyl Chloride (PVC)";"";"cyclohexanol";"cyclohexyl alcohol";"108-93-0";"C6H12O";"alcohols";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"15";"Polyvinylidene Fluoride (PVDF)";"";"cyclohexanol";"cyclohexyl alcohol";"108-93-0";"C6H12O";"alcohols";"1";"recommended";"100";"70 – 150";"";"";"1, 23";"";"";"";"";"";"";"";"";"";"";""
"16";"Polyvinylidene Fluoride (PVDF)";"";"cyclohexanol";"cyclohexyl alcohol";"108-93-0";"C6H12O";"alcohols";"2";"questionable";"100";"150 – 212";"";"";"1, 23";"";"";"";"";"";"";"";"";"";"";""
"17";"Rubber, Butyl (BR)";"";"cyclohexanol";"cyclohexyl alcohol";"108-93-0";"C6H12O";"alcohols";"2";"questionable";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"18";"Rubber, Natural (NR)";"";"cyclohexanol";"cyclohexyl alcohol";"108-93-0";"C6H12O";"alcohols";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"19";"Styrene Acrylonitrile Copolymer (SAN)";"";"cyclohexanol";"cyclohexyl alcohol";"108-93-0";"C6H12O";"alcohols";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"20";"Styrene Acrylonitrile Copolymer (SAN)";"";"cyclohexanol";"cyclohexyl alcohol";"108-93-0";"C6H12O";"alcohols";"3";"not recommended";"100";"80 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
