sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Aluminum fluoride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Lead";"aluminum fluoride";"aluminum trifluoride";"7784-18-1";"AlF3";"salts";"5";"25 – 75";">50";"6,214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"aluminum fluoride";"aluminum trifluoride";"7784-18-1";"AlF3";"salts";"5";"25 – 75";"<20";"6,214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"aluminum fluoride";"aluminum trifluoride";"7784-18-1";"AlF3";"salts";"5";"25 – 75";"<20";"6,214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"aluminum fluoride";"aluminum trifluoride";"7784-18-1";"AlF3";"salts";"5";"25 – 75";"<20";"6,214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"aluminum fluoride";"aluminum trifluoride";"7784-18-1";"AlF3";"salts";"5";"25 – 75";"<20";"6,214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"aluminum fluoride";"aluminum trifluoride";"7784-18-1";"AlF3";"salts";"5";"25 – 75";"<20";"6,214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Nickel (200)";"aluminum fluoride";"aluminum trifluoride";"7784-18-1";"AlF3";"salts";"5";"25 – 225";"<20";"6,214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Nickel-Copper (400)";"aluminum fluoride";"aluminum trifluoride";"7784-18-1";"AlF3";"salts";"5";"25 – 75";"<2";"6,214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Nickel-Copper (400)";"aluminum fluoride";"aluminum trifluoride";"7784-18-1";"AlF3";"salts";"5";"75 – 225";"<20";"6,214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Silicon Cast Iron (14Si)";"aluminum fluoride";"aluminum trifluoride";"7784-18-1";"AlF3";"salts";"5";"52 – 102";">50";"6,214,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Silicon Cast Iron (14Si)";"aluminum fluoride";"aluminum trifluoride";"7784-18-1";"AlF3";"salts";"100";"52 – 102";">50";"6,214,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Silver";"aluminum fluoride";"aluminum trifluoride";"7784-18-1";"AlF3";"salts";"5";"25 – 225";"<2";"6,214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Steels, Carbon/ Low Alloy";"aluminum fluoride";"aluminum trifluoride";"7784-18-1";"AlF3";"salts";"5";"25 – 75";"<20";"6,214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Steels, Carbon/ Low Alloy";"aluminum fluoride";"aluminum trifluoride";"7784-18-1";"AlF3";"salts";"100";"25 – 75";"20 – 50";"6,214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Tantalum";"aluminum fluoride";"aluminum trifluoride";"7784-18-1";"AlF3";"salts";"5";"25 – 75";">50";"6,214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Titanium, Unalloyed";"aluminum fluoride";"aluminum trifluoride";"7784-18-1";"AlF3";"salts";"5";"25 – 75";">50";"6,214,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Zirconium";"aluminum fluoride";"aluminum trifluoride";"7784-18-1";"AlF3";"salts";"5";"25 – 75";">50";"6,214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Zirconium";"aluminum fluoride";"aluminum trifluoride";"7784-18-1";"AlF3";"salts";"100";"25 – 75";">50";"6,214,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
