sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Aluminum sulfate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"";"5 – 25";"25 – 225";"<2";"";"7,159,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"";"25";"0 – 212";"<2";"";"7,159,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-25-4Mo (904L)";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"";"35";"0 – 221";"20 – 50";"";"7,159,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-25-6Mo (254SMO/ 6XN)";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"";"25";"0 – 212";"<2";"";"7,159,215";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"";"5 – 25";"75 – 275";"<2";"";"7,159,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"";"25";"0 – 212";"<2";"";"7,159,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"";"35";"0 – 221";"20 – 50";"";"7,159,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Alloy 30-44-5-3W (G-30)";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"";"5 – 25";"75 – 275";"<2";"";"7,159,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Alloy 30-44-5-3W (G-30)";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"";"25";"0 – 212";"<2";"";"7,159,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Alloy 30-44-5-3W (G-30)";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"";"35";"0 – 221";"20 – 50";"";"7,159,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Aluminum Alloy (3003/ 5154)";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"";"5 – 15";"175 – 225";">50";"";"7,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Aluminum Alloy (3003/ 5154)";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"";"5 – 35";"75 – 125";"<2";"";"7,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Aluminum Alloy (3003/ 5154)";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"";"25 – 35";"175 – 225";">50";"";"7,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"aluminum sulfate";"alunogenite";"10043-01-3";"Al2O12S3";"salts";"";"5 – 35";"175 – 225";"<20";"";"7,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
