sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Nickel chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"11";"Epoxy Resin, Glass Fiber- Reinforced";"";"nickel chloride";"";"7718-54-9";"Cl2Ni";"salts";"1";"recommended";"6";"70 – 150";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"12";"Epoxy Resin, Glass Fiber- Reinforced";"";"nickel chloride";"";"7718-54-9";"Cl2Ni";"salts";"1";"recommended";"10 – 20";"70 – 150";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"13";"Epoxy Resin, Glass Fiber- Reinforced";"";"nickel chloride";"";"7718-54-9";"Cl2Ni";"salts";"1";"recommended";"50";"225";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"14";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"nickel chloride";"";"7718-54-9";"Cl2Ni";"salts";"1";"recommended";"100";"70 – 150";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";""
"15";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"nickel chloride";"";"7718-54-9";"Cl2Ni";"salts";"1";"recommended";"10 – 90";"70 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"16";"Polyethylene (PE)";"";"nickel chloride";"saturated";"7718-54-9";"Cl2Ni";"salts";"1";"recommended";"60";"60 – 70";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";""
"17";"Polyethylene (PE)";"";"nickel chloride";"saturated";"7718-54-9";"Cl2Ni";"salts";"1";"recommended";"90";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";""
"18";"Polymethyl Methacrylate (PMMA)";"";"nickel chloride";"";"7718-54-9";"Cl2Ni";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"19";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"nickel chloride";"";"7718-54-9";"Cl2Ni";"salts";"1";"recommended";"100";"0 – 200";"<1";"";"11";"";"";"";"";"";"";"";"";"";"";""
"20";"Polypropylene (PP)";"";"nickel chloride";"saturated";"7718-54-9";"Cl2Ni";"salts";"1";"recommended";">10";"60 – 150";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";""
"21";"Polypropylene (PP)";"";"nickel chloride";"";"7718-54-9";"Cl2Ni";"salts";"1";"recommended";"100";"60 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"22";"Polyvinyl Chloride (PVC)";"";"nickel chloride";"";"7718-54-9";"Cl2Ni";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"23";"Vinyl Ester Resins";"";"nickel chloride";"";"7718-54-9";"Cl2Ni";"salts";"1";"recommended";">10";"80 – 210";"";"";"7";"";"";"";"";"";"";"";"";"";"";""
"24";"Wood";"";"nickel chloride";"";"7718-54-9";"Cl2Ni";"salts";"1";"recommended";"100";"70 – 275";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
