sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Rubber, Butyl (BR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Rubber, Butyl (BR)";"acetaldehyde";"ethanal";"";"75-07-0";"C2H4O";"aldehydes";"1";"recommended";"40";"100 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Rubber, Butyl (BR)";"acetaldehyde";"ethanal";"";"75-07-0";"C2H4O";"aldehydes";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Rubber, Butyl (BR)";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"3";"not recommended; weight gain >12 months";"10";"150 – 200";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Rubber, Butyl (BR)";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended";"10 – 60";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Rubber, Butyl (BR)";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended";"80";"70 – 100";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Rubber, Butyl (BR)";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"2";"questionable";"80";"100 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Rubber, Butyl (BR)";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"2";"questionable";"85";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Rubber, Butyl (BR)";"acetic acid";"ethanoic acid";"";"64-19-7";"C2H4O2";"organic (weak) acids";"1";"recommended";"100";"70 – 150";"";"crude, 95% also";"1";"";"";"";"";"";"";"";"";"";"";""
"9";"Rubber, Butyl (BR)";"acetone";"2-propanone";"";"67-64-1";"C3H6O";"ketones";"1";"recommended";"10";"60 – 70";"";"traces";"1";"";"";"";"";"";"";"";"";"";"";""
"10";"Rubber, Butyl (BR)";"acetone";"2-propanone";"";"67-64-1";"C3H6O";"ketones";"1";"recommended";"100";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"11";"Rubber, Butyl (BR)";"acetone";"2-propanone";"";"67-64-1";"C3H6O";"ketones";"3";"not recommended; weight gain ";"100";"125 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"12";"Rubber, Butyl (BR)";"acrylonitrile";"propenenitrile";"";"107-13-1";"C3H3N";"nitriles";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"13";"Rubber, Butyl (BR)";"adipic acid";"";"saturated";"124-04-9";"C6H10O4";"organic (weak) acids";"1";"recommended";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"14";"Rubber, Butyl (BR)";"allyl alcohol";"2-propen-1-ol";"";"107-18-6";"C3H6O";"alcohols";"2";"questionable";"96";"70 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"15";"Rubber, Butyl (BR)";"aluminum chloride";"aluminum trichloride";"";"7446-70-0";"AlCl3";"salts";"1";"recommended";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"16";"Rubber, Butyl (BR)";"aluminum chloride";"aluminum trichloride";"saturated";"7446-70-0";"AlCl3";"salts";"1";"recommended";"70";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"17";"Rubber, Butyl (BR)";"aluminum potassium sulfate";"potassium aluminum sulfate";"";"10043-67-1";"AlKO8S2";"salts";"1";"recommended";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"18";"Rubber, Butyl (BR)";"aluminum potassium sulfate";"potassium aluminum sulfate";"saturated";"10043-67-1";"AlKO8S2";"salts";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"19";"Rubber, Butyl (BR)";"aluminum sulfate";"alunogenite";"";"10043-01-3";"Al2O12S3";"salts";"1";"recommended";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"20";"Rubber, Butyl (BR)";"aluminum sulfate";"alunogenite";"";"10043-01-3";"Al2O12S3";"salts";"1";"recommended";">20";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"21";"Rubber, Butyl (BR)";"aluminum sulfate";"alunogenite";"saturated";"10043-01-3";"Al2O12S3";"salts";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"22";"Rubber, Butyl (BR)";"aminoacetic acid";"glycine";"";"56-40-6";"C2H5NO2";"organic (weak) acids";"1";"recommended";"10";"70 – 100";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"23";"Rubber, Butyl (BR)";"ammonia";"";"saturated";"7664-41-7";"H3N";"bases";"1";"recommended";"10";"100 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"24";"Rubber, Butyl (BR)";"ammonia";"";"";"7664-41-7";"H3N";"bases";"2";"questionable";"10";"175 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"25";"Rubber, Butyl (BR)";"ammonia";"";"liquid";"7664-41-7";"H3N";"bases";"1";"recommended";"100";"0 – 70";"";"liquid";"1";"";"";"";"";"";"";"";"";"";"";""
"26";"Rubber, Butyl (BR)";"ammonia";"";"";"7664-41-7";"H3N";"bases";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"27";"Rubber, Butyl (BR)";"ammonium acetate";"";"";"631-61-8";"C2H7NO2";"salts";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"28";"Rubber, Butyl (BR)";"ammonium carbonate";"";"";"506-87-6";"CH8N2O3";"salts";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"29";"Rubber, Butyl (BR)";"ammonium chloride";"sal ammoniac";"saturated";"12125-02-9";"ClH4N";"salts";"1";"recommended";"10 – 70";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"30";"Rubber, Butyl (BR)";"ammonium fluoride";"";"";"12125-01-8";"FH4N";"salts";"1";"recommended";"10 – 20";"70 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"31";"Rubber, Butyl (BR)";"ammonium fluoride";"";"";"12125-01-8";"FH4N";"salts";"2";"questionable";"10 – 20";"175 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"32";"Rubber, Butyl (BR)";"ammonium nitrate";"";"saturated";"6484-52-2";"H4N2O3";"salts";"1";"recommended";">10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"33";"Rubber, Butyl (BR)";"ammonium phosphate";"";"";"";"";"salts";"1";"recommended";">10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"34";"Rubber, Butyl (BR)";"ammonium sulfate";"";"saturated";"7783-20-2";"H8N2O4S";"salts";"1";"recommended";">10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"35";"Rubber, Butyl (BR)";"ammonium sulfide";"";"saturated";"12135-76-1";"H8N2S";"salts";"1";"recommended";">10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"36";"Rubber, Butyl (BR)";"amyl acetate";"pentyl acetate";"";"628-63-7";"C7H14O2";"esters";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"37";"Rubber, Butyl (BR)";"amyl acetate";"pentyl acetate";"";"628-63-7";"C7H14O2";"esters";"3";"not recommended";"100";"70 – 80";"[>12]";"";"1";"";"";"";"";"";"";"";"";"";"";""
"38";"Rubber, Butyl (BR)";"amyl acetate";"pentyl acetate";"";"628-63-7";"C7H14O2";"esters";"3";"not recommended";"100";"200 – 250";"[";"";"1";"";"";"";"";"";"";"";"";"";"";""
"39";"Rubber, Butyl (BR)";"amyl alcohol";"1-pentanol";"";"71-41-0";"C5H12O";"alcohols";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"40";"Rubber, Butyl (BR)";"aniline";"benzenamine";"saturated";"62-53-3";"C6H7N";"amines";"1";"recommended";"90";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"41";"Rubber, Butyl (BR)";"aniline";"benzenamine";"";"62-53-3";"C6H7N";"amines";"1";"recommended";">90";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"42";"Rubber, Butyl (BR)";"aniline hydrochloride";"benzenamine hydrochloride";"saturated";"142-04-1";"C6H8ClN";"amino salts";"1";"recommended";"90";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"43";"Rubber, Butyl (BR)";"anisole";"methoxybenzene";"";"100-66-3";"C7H8O";"aromatics";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"44";"Rubber, Butyl (BR)";"anthraquinonesulfonic acid";"";"";"";"";"surfactants & detergents";"1";"recommended";"10";"70 – 90";"";"suspension";"1";"";"";"";"";"";"";"";"";"";"";""
"45";"Rubber, Butyl (BR)";"antimony chloride";"antimony trichloride";"";"10025-91-9";"Cl3Sb";"salts";"1";"recommended";"90";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"46";"Rubber, Butyl (BR)";"antimony chloride";"antimony trichloride";"";"10025-91-9";"Cl3Sb";"salts";"1";"recommended";"100";"70 – 150";"";"no water";"1";"";"";"";"";"";"";"";"";"";"";""
"47";"Rubber, Butyl (BR)";"arsenic acid";"orthoarsenic acid";"";"7778-39-4";"AsH3O4";"inorganic acids";"1";"recommended";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"48";"Rubber, Butyl (BR)";"arsenic acid";"orthoarsenic acid";"";"7778-39-4";"AsH3O4";"inorganic acids";"1";"recommended";"80";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"49";"Rubber, Butyl (BR)";"barium hydroxide";"caustic baryta";"";"17194-00-2";"BaH2O2";"hydroxides";"1";"recommended";"10 – 90";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"50";"Rubber, Butyl (BR)";"beer";"";"alcoholic beverage";"";"";"foods & beverages";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
