sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Gluconic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"gluconic acid";"organic (weak) acids";"";"5 – 95";"25 – 225";"<2";"56,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 30-44-5-3W (G-30)";"gluconic acid";"organic (weak) acids";"";"5 – 95";"25 – 225";"<2";"56,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Aluminum Alloy (3003/ 5154)";"gluconic acid";"organic (weak) acids";"";"5 – 15";"25 – 225";"<20";"56,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"gluconic acid";"organic (weak) acids";"";"5 – 35";"25 – 75";"<20";"56,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"gluconic acid";"organic (weak) acids";"";"5 – 95";"25 – 225";"<2";"56,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"gluconic acid";"organic (weak) acids";"";"5 – 95";"25 – 225";"<2";"56,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Brass (>15Zn)";"gluconic acid";"organic (weak) acids";"severe corrosion with oxygen ingress";"5 – 95";"25 – 225";"<2";"56,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cast Iron, Gray/ Ductile";"gluconic acid";"organic (weak) acids";"";"5 – 95";"25 – 225";"20 – 50";"56,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Copper/ Bronze/ Low Brass";"gluconic acid";"organic (weak) acids";"severe corrosion with oxygen ingress";"";"0";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper-Nickel";"gluconic acid";"organic (weak) acids";"severe corrosion with oxygen ingress";"";"0";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Gold/ Platinum";"gluconic acid";"organic (weak) acids";"";"5 – 95";"25 – 225";"<2";"56,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"gluconic acid";"organic (weak) acids";"";"5 – 95";"25 – 75";"<2";"56,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"gluconic acid";"organic (weak) acids";"";"5 – 95";"25 – 75";"<2";"56,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
